Date,Open,High,Low,Close,Adj Close,Volume
2018-08-14,,,,,,
2018-08-15,0.27,0.275,0.25,0.25,0.25,2924417.0
2018-08-16,0.25,0.25,0.235,0.235,0.235,833862.0
2018-08-17,0.24,0.245,0.235,0.24,0.24,373017.0
2018-08-20,0.24,0.245,0.225,0.23,0.23,689082.0
2018-08-21,0.23,0.23,0.22,0.225,0.225,323495.0
2018-08-22,0.225,0.23,0.225,0.23,0.23,249819.0
2018-08-23,0.225,0.245,0.225,0.245,0.245,463731.0
2018-08-24,0.24,0.245,0.235,0.245,0.245,207055.0
2018-08-27,0.245,0.27,0.235,0.27,0.27,287859.0
2018-08-28,0.27,0.28,0.27,0.28,0.28,201499.0
2018-08-29,0.29,0.325,0.29,0.3,0.3,415638.0
2018-08-30,0.3,0.3,0.29,0.29,0.29,65000.0
2018-08-31,0.29,0.29,0.26,0.27,0.27,174696.0
2018-09-03,0.26,0.26,0.26,0.26,0.26,50740.0
2018-09-04,0.26,0.26,0.245,0.245,0.245,282198.0
2018-09-05,0.25,0.26,0.25,0.26,0.26,36477.0
2018-09-06,0.26,0.27,0.25,0.25,0.25,75700.0
2018-09-07,0.25,0.25,0.25,0.25,0.25,94109.0
2018-09-10,0.245,0.245,0.245,0.245,0.245,16080.0
2018-09-11,0.24,0.24,0.24,0.24,0.24,1450.0
2018-09-12,0.24,0.24,0.24,0.24,0.24,1450.0
2018-09-13,0.245,0.245,0.245,0.245,0.245,36770.0
2018-09-14,0.245,0.245,0.245,0.245,0.245,36770.0
2018-09-17,0.25,0.25,0.25,0.25,0.25,34000.0
2018-09-18,0.25,0.25,0.25,0.25,0.25,34000.0
2018-09-19,0.245,0.255,0.245,0.255,0.255,65617.0
2018-09-20,0.255,0.26,0.25,0.26,0.26,148191.0
2018-09-21,0.26,0.26,0.26,0.26,0.26,50000.0
2018-09-24,0.26,0.26,0.26,0.26,0.26,350.0
2018-09-25,0.26,0.26,0.25,0.26,0.26,37686.0
2018-09-26,0.26,0.26,0.25,0.26,0.26,37686.0
2018-09-27,0.25,0.26,0.25,0.26,0.26,42131.0
2018-09-28,0.26,0.26,0.26,0.26,0.26,28687.0
2018-10-01,0.265,0.265,0.265,0.265,0.265,5585.0
