Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,0.135,0.135,0.12,0.12,0.12,387677
2012-01-03,0.13,0.13,0.13,0.13,0.13,45000
2012-01-04,0.13,0.13,0.13,0.13,0.13,0
2012-01-05,0.13,0.13,0.13,0.13,0.13,79000
2012-01-08,0.125,0.125,0.12,0.12,0.12,234583
2012-01-09,0.125,0.125,0.125,0.125,0.125,60127
2012-01-10,0.12,0.12,0.12,0.12,0.12,5000
2012-01-11,0.12,0.12,0.115,0.115,0.115,53943
2012-01-12,0.115,0.115,0.115,0.115,0.115,0
2012-01-15,0.115,0.115,0.11,0.11,0.11,114000
2012-01-16,0.115,0.13,0.115,0.13,0.13,244550
2012-01-17,0.13,0.13,0.125,0.125,0.125,163146
2012-01-18,0.125,0.13,0.12,0.13,0.13,206467
2012-01-19,0.13,0.13,0.125,0.125,0.125,32162
2012-01-22,0.125,0.125,0.12,0.12,0.12,35088
2012-01-23,0.12,0.15,0.12,0.135,0.135,877030
2012-01-24,0.135,0.14,0.135,0.14,0.14,12474
2012-01-26,0.135,0.14,0.135,0.135,0.135,87237
2012-01-29,0.14,0.145,0.14,0.145,0.145,13500
2012-01-30,0.145,0.145,0.145,0.145,0.145,0
2012-01-31,0.145,0.145,0.145,0.145,0.145,0
2012-02-01,0.145,0.145,0.14,0.14,0.14,48850
2012-02-02,0.14,0.14,0.13,0.13,0.13,251314
2012-02-05,0.13,0.13,0.13,0.13,0.13,42436
2012-02-06,0.135,0.135,0.13,0.135,0.135,57314
2012-02-07,0.135,0.135,0.135,0.135,0.135,50000
2012-02-08,0.135,0.135,0.135,0.135,0.135,52000
2012-02-09,0.135,0.135,0.135,0.135,0.135,0
2012-02-12,0.135,0.135,0.135,0.135,0.135,125565
2012-02-13,0.135,0.135,0.13,0.13,0.13,202000
2012-02-14,0.13,0.135,0.13,0.135,0.135,60889
2012-02-15,0.13,0.13,0.13,0.13,0.13,60000
2012-02-16,0.13,0.13,0.13,0.13,0.13,0
2012-02-19,0.14,0.145,0.14,0.145,0.145,119285
2012-02-20,0.145,0.145,0.145,0.145,0.145,0
2012-02-21,0.145,0.145,0.145,0.145,0.145,0
2012-02-22,0.13,0.13,0.13,0.13,0.13,48000
2012-02-23,0.135,0.135,0.135,0.135,0.135,13865
2012-02-26,0.135,0.135,0.135,0.135,0.135,51629
2012-02-27,0.135,0.135,0.135,0.135,0.135,0
2012-02-28,0.135,0.135,0.13,0.13,0.13,162000
2012-02-29,0.13,0.13,0.125,0.125,0.125,152413
2012-03-01,0.125,0.125,0.125,0.125,0.125,216000
2012-03-04,0.125,0.125,0.125,0.125,0.125,238500
2012-03-05,0.125,0.125,0.12,0.12,0.12,241487
2012-03-06,0.135,0.135,0.12,0.12,0.12,20000
2012-03-07,0.12,0.12,0.12,0.12,0.12,0
2012-03-08,0.13,0.13,0.105,0.11,0.11,881814
2012-03-11,0.11,0.11,0.11,0.11,0.11,0
2012-03-12,0.12,0.125,0.12,0.125,0.125,137088
2012-03-13,0.115,0.115,0.115,0.115,0.115,91630
2012-03-14,0.115,0.12,0.115,0.115,0.115,220000
2012-03-15,0.115,0.115,0.115,0.115,0.115,0
2012-03-18,0.115,0.115,0.11,0.11,0.11,342093
2012-03-19,0.11,0.11,0.11,0.11,0.11,0
2012-03-20,0.135,0.15,0.13,0.14,0.14,5958494
2012-03-21,0.14,0.14,0.135,0.14,0.14,810756
2012-03-22,0.135,0.135,0.135,0.135,0.135,154822
2012-03-25,0.14,0.145,0.14,0.14,0.14,514843
2012-03-26,0.14,0.14,0.13,0.13,0.13,160666
2012-03-27,0.13,0.135,0.13,0.135,0.135,24903
2012-03-28,0.135,0.135,0.135,0.135,0.135,43000
2012-03-29,0.14,0.14,0.14,0.14,0.14,300000
2012-04-02,0.14,0.145,0.14,0.145,0.145,118550
2012-04-03,0.135,0.135,0.13,0.13,0.13,126683
2012-04-04,0.13,0.13,0.13,0.13,0.13,0
2012-04-05,0.135,0.135,0.13,0.13,0.13,12147
2012-04-10,0.12,0.12,0.12,0.12,0.12,50000
2012-04-11,0.115,0.12,0.115,0.12,0.12,136704
2012-04-12,0.115,0.12,0.115,0.12,0.12,68518
2012-04-13,0.115,0.115,0.115,0.115,0.115,20253
2012-04-16,0.12,0.12,0.12,0.12,0.12,1002150
2012-04-17,0.12,0.12,0.12,0.12,0.12,16700
2012-04-18,0.12,0.12,0.12,0.12,0.12,0
2012-04-19,0.12,0.12,0.12,0.12,0.12,0
2012-04-20,0.12,0.12,0.115,0.12,0.12,34450
2012-04-23,0.115,0.12,0.115,0.115,0.115,351709
2012-04-24,0.115,0.115,0.115,0.115,0.115,0
2012-04-26,0.12,0.12,0.12,0.12,0.12,392444
2012-04-27,0.115,0.12,0.115,0.12,0.12,564942
2012-04-30,0.12,0.12,0.12,0.12,0.12,10000
2012-05-01,0.115,0.12,0.11,0.11,0.11,457556
2012-05-02,0.12,0.12,0.11,0.11,0.11,158358
2012-05-03,0.11,0.11,0.11,0.11,0.11,35000
2012-05-04,0.115,0.115,0.115,0.115,0.115,100000
2012-05-07,0.12,0.12,0.11,0.11,0.11,195850
2012-05-08,0.105,0.105,0.105,0.105,0.105,200001
2012-05-09,0.105,0.105,0.105,0.105,0.105,185776
2012-05-10,0.105,0.105,0.105,0.105,0.105,0
2012-05-11,0.105,0.105,0.105,0.105,0.105,0
2012-05-14,0.105,0.105,0.105,0.105,0.105,0
2012-05-15,0.11,0.125,0.11,0.11,0.11,793600
2012-05-16,0.11,0.11,0.1,0.1,0.1,602500
2012-05-17,0.1,0.105,0.1,0.105,0.105,81500
2012-05-18,0.09,0.09699999999999999,0.09,0.09300000000000001,0.09300000000000001,342805
2012-05-21,0.096,0.1,0.096,0.1,0.1,185200
2012-05-22,0.1,0.1,0.1,0.1,0.1,155800
2012-05-23,0.1,0.1,0.098,0.098,0.098,501754
2012-05-24,0.098,0.098,0.095,0.095,0.095,50000
2012-05-25,0.096,0.096,0.096,0.096,0.096,20000
2012-05-28,0.096,0.096,0.092,0.092,0.092,153205
2012-05-29,0.094,0.095,0.094,0.094,0.094,80000
2012-05-30,0.096,0.096,0.094,0.095,0.095,111500
2012-05-31,0.09300000000000001,0.095,0.092,0.092,0.092,260500
2012-06-01,0.1,0.1,0.092,0.095,0.095,92431
2012-06-04,0.095,0.095,0.095,0.095,0.095,50000
2012-06-05,0.095,0.095,0.08900000000000001,0.09,0.09,97569
2012-06-06,0.09,0.09,0.09,0.09,0.09,0
2012-06-07,0.094,0.1,0.094,0.1,0.1,200907
2012-06-08,0.09,0.09,0.09,0.09,0.09,40000
2012-06-12,0.09,0.092,0.08900000000000001,0.092,0.092,106000
2012-06-13,0.09300000000000001,0.095,0.09300000000000001,0.095,0.095,133040
2012-06-14,0.095,0.095,0.09300000000000001,0.09300000000000001,0.09300000000000001,54863
2012-06-15,0.09300000000000001,0.09300000000000001,0.09300000000000001,0.09300000000000001,0.09300000000000001,0
2012-06-18,0.09,0.092,0.09,0.092,0.092,96000
2012-06-19,0.095,0.105,0.095,0.105,0.105,286306
2012-06-20,0.105,0.105,0.095,0.095,0.095,259680
2012-06-21,0.091,0.091,0.08900000000000001,0.08900000000000001,0.08900000000000001,114173
2012-06-22,0.092,0.092,0.092,0.092,0.092,75000
2012-06-25,0.08900000000000001,0.09,0.08900000000000001,0.08900000000000001,0.08900000000000001,110200
2012-06-26,0.08900000000000001,0.08900000000000001,0.087,0.087,0.087,351168
2012-06-27,0.086,0.08900000000000001,0.083,0.084,0.084,425000
2012-06-28,0.084,0.085,0.084,0.085,0.085,1028532
2012-06-29,0.087,0.08900000000000001,0.086,0.087,0.087,606462
2012-07-02,0.08800000000000001,0.08800000000000001,0.08800000000000001,0.08800000000000001,0.08800000000000001,40000
2012-07-03,0.087,0.087,0.087,0.087,0.087,30000
2012-07-04,0.08800000000000001,0.08800000000000001,0.08800000000000001,0.08800000000000001,0.08800000000000001,6000
2012-07-05,0.08800000000000001,0.08800000000000001,0.087,0.08800000000000001,0.08800000000000001,48313
2012-07-06,0.08800000000000001,0.08800000000000001,0.08800000000000001,0.08800000000000001,0.08800000000000001,0
2012-07-09,0.08800000000000001,0.08800000000000001,0.08800000000000001,0.08800000000000001,0.08800000000000001,0
2012-07-10,0.087,0.087,0.084,0.084,0.084,517000
2012-07-11,0.084,0.084,0.084,0.084,0.084,0
2012-07-12,0.085,0.085,0.085,0.085,0.085,25000
2012-07-13,0.085,0.085,0.085,0.085,0.085,10000
2012-07-16,0.084,0.084,0.084,0.084,0.084,18530
2012-07-17,0.084,0.084,0.084,0.084,0.084,10596
2012-07-18,0.084,0.084,0.08,0.08,0.08,154000
2012-07-19,0.08,0.08,0.078,0.079,0.079,300000
2012-07-20,0.079,0.079,0.079,0.079,0.079,32116
2012-07-23,0.079,0.079,0.079,0.079,0.079,7590
2012-07-24,0.079,0.079,0.078,0.078,0.078,70884
2012-07-25,0.08199999999999999,0.08199999999999999,0.08199999999999999,0.08199999999999999,0.08199999999999999,206250
2012-07-26,0.08199999999999999,0.08199999999999999,0.08199999999999999,0.08199999999999999,0.08199999999999999,0
2012-07-27,0.08199999999999999,0.08199999999999999,0.08199999999999999,0.08199999999999999,0.08199999999999999,0
2012-07-30,0.079,0.079,0.07,0.07,0.07,86330
2012-07-31,0.07,0.07,0.064,0.064,0.064,74318
2012-08-01,0.065,0.065,0.065,0.065,0.065,50000
2012-08-02,0.067,0.068,0.067,0.068,0.068,23000
2012-08-03,0.068,0.068,0.068,0.068,0.068,4000
2012-08-06,0.066,0.066,0.063,0.063,0.063,466000
2012-08-07,0.063,0.063,0.055,0.055,0.055,323207
2012-08-08,0.055999999999999994,0.055999999999999994,0.055,0.055,0.055,162027
2012-08-09,0.055,0.055,0.055,0.055,0.055,50000
2012-08-10,0.055,0.055,0.055,0.055,0.055,33700
