Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,0.13,0.14,0.13,0.14,0.14,67000
2012-01-03,0.14,0.145,0.14,0.145,0.145,132044
2012-01-04,0.14,0.15,0.14,0.15,0.15,200000
2012-01-05,0.15,0.15,0.15,0.15,0.15,0
2012-01-08,0.135,0.14,0.135,0.14,0.14,20000
2012-01-09,0.145,0.155,0.145,0.155,0.155,125500
2012-01-10,0.15,0.155,0.15,0.15,0.15,93673
2012-01-11,0.15,0.15,0.15,0.15,0.15,12665
2012-01-12,0.15,0.15,0.15,0.15,0.15,0
2012-01-15,0.15,0.155,0.145,0.145,0.145,25808
2012-01-16,0.145,0.15,0.145,0.145,0.145,85107
2012-01-17,0.15,0.18,0.145,0.165,0.165,2007420
2012-01-18,0.175,0.175,0.16,0.165,0.165,331893
2012-01-19,0.17,0.17,0.155,0.155,0.155,261783
2012-01-22,0.155,0.155,0.155,0.155,0.155,59531
2012-01-23,0.155,0.155,0.15,0.15,0.15,261700
2012-01-24,0.15,0.15,0.15,0.15,0.15,46728
2012-01-26,0.145,0.15,0.145,0.15,0.15,50508
2012-01-29,0.15,0.15,0.145,0.145,0.145,36380
2012-01-30,0.155,0.155,0.155,0.155,0.155,36300
2012-01-31,0.145,0.145,0.14,0.14,0.14,112602
2012-02-01,0.14,0.14,0.14,0.14,0.14,8000
2012-02-02,0.15,0.15,0.15,0.15,0.15,10000
2012-02-05,0.155,0.155,0.145,0.145,0.145,161833
2012-02-06,0.15,0.15,0.145,0.145,0.145,32507
2012-02-07,0.145,0.15,0.14,0.15,0.15,216570
2012-02-08,0.145,0.145,0.14,0.14,0.14,22500
2012-02-09,0.145,0.145,0.145,0.145,0.145,109200
2012-02-12,0.145,0.145,0.14,0.14,0.14,74264
2012-02-13,0.14,0.145,0.14,0.145,0.145,107476
2012-02-14,0.145,0.145,0.145,0.145,0.145,0
2012-02-15,0.145,0.145,0.145,0.145,0.145,49124
2012-02-16,0.14,0.14,0.14,0.14,0.14,6500
2012-02-19,0.14,0.14,0.14,0.14,0.14,0
2012-02-20,0.15,0.15,0.14,0.14,0.14,277257
2012-02-21,0.145,0.15,0.145,0.15,0.15,64500
2012-02-22,0.14,0.14,0.14,0.14,0.14,27000
2012-02-23,0.14,0.14,0.14,0.14,0.14,212896
2012-02-26,0.135,0.135,0.135,0.135,0.135,198000
2012-02-27,0.135,0.14,0.135,0.135,0.135,42299
2012-02-28,0.135,0.14,0.13,0.13,0.13,210725
2012-02-29,0.13,0.14,0.13,0.14,0.14,24000
2012-03-01,0.135,0.135,0.135,0.135,0.135,99315
2012-03-04,0.135,0.135,0.13,0.135,0.135,27803
2012-03-05,0.13,0.135,0.13,0.135,0.135,106197
2012-03-06,0.135,0.135,0.135,0.135,0.135,0
2012-03-07,0.125,0.125,0.12,0.12,0.12,395801
2012-03-08,0.12,0.12,0.115,0.115,0.115,65000
2012-03-11,0.125,0.125,0.125,0.125,0.125,390361
2012-03-12,0.125,0.125,0.125,0.125,0.125,36000
2012-03-13,0.125,0.13,0.125,0.13,0.13,165639
2012-03-14,0.115,0.115,0.115,0.115,0.115,56402
2012-03-15,0.12,0.125,0.12,0.125,0.125,16338
2012-03-18,0.125,0.125,0.125,0.125,0.125,0
2012-03-19,0.12,0.12,0.115,0.115,0.115,37942
2012-03-20,0.115,0.115,0.115,0.115,0.115,179000
2012-03-21,0.11,0.125,0.105,0.12,0.12,248080
2012-03-22,0.125,0.125,0.12,0.12,0.12,25290
2012-03-25,0.12,0.125,0.115,0.125,0.125,65647
2012-03-26,0.125,0.13,0.12,0.13,0.13,426061
2012-03-27,0.125,0.13,0.125,0.13,0.13,470876
2012-03-28,0.13,0.155,0.13,0.145,0.145,706234
2012-03-29,0.145,0.185,0.14,0.17,0.17,1388612
2012-04-02,0.195,0.235,0.185,0.19,0.19,2373319
2012-04-03,0.19,0.19,0.19,0.19,0.19,0
2012-04-04,0.19,0.195,0.18,0.185,0.185,702477
2012-04-05,0.175,0.18,0.155,0.155,0.155,951078
2012-04-10,0.155,0.16,0.15,0.16,0.16,117256
2012-04-11,0.16,0.16,0.16,0.16,0.16,32590
2012-04-12,0.16,0.165,0.155,0.155,0.155,727820
2012-04-13,0.155,0.155,0.155,0.155,0.155,43345
2012-04-16,0.16,0.16,0.155,0.155,0.155,155600
2012-04-17,0.15,0.15,0.15,0.15,0.15,150000
2012-04-18,0.155,0.16,0.155,0.16,0.16,102037
2012-04-19,0.15,0.155,0.15,0.155,0.155,48332
2012-04-20,0.155,0.16,0.15,0.155,0.155,331463
2012-04-23,0.155,0.155,0.15,0.15,0.15,56920
2012-04-24,0.15,0.155,0.15,0.155,0.155,373898
2012-04-26,0.16,0.175,0.16,0.175,0.175,613142
2012-04-27,0.18,0.18,0.175,0.175,0.175,105000
2012-04-30,0.165,0.165,0.16,0.16,0.16,161440
2012-05-01,0.16,0.16,0.155,0.155,0.155,118127
2012-05-02,0.155,0.155,0.13,0.13,0.13,495696
2012-05-03,0.145,0.145,0.135,0.135,0.135,67000
2012-05-04,0.14,0.14,0.135,0.135,0.135,144942
2012-05-07,0.13,0.135,0.125,0.13,0.13,244165
2012-05-08,0.125,0.14,0.125,0.13,0.13,452166
2012-05-09,0.13,0.13,0.12,0.125,0.125,841000
2012-05-10,0.13,0.13,0.125,0.13,0.13,531799
2012-05-11,0.125,0.13,0.12,0.125,0.125,455008
2012-05-14,0.115,0.115,0.11,0.11,0.11,79769
2012-05-15,0.11,0.11,0.11,0.11,0.11,92683
2012-05-16,0.11,0.11,0.11,0.11,0.11,96856
2012-05-17,0.11,0.11,0.11,0.11,0.11,430000
2012-05-18,0.105,0.11,0.105,0.11,0.11,252000
2012-05-21,0.11,0.11,0.105,0.105,0.105,99285
2012-05-22,0.105,0.11,0.1,0.1,0.1,313607
2012-05-23,0.1,0.1,0.1,0.1,0.1,0
2012-05-24,0.1,0.105,0.1,0.105,0.105,54530
2012-05-25,0.11,0.11,0.105,0.105,0.105,68627
2012-05-28,0.1,0.11,0.1,0.105,0.105,140695
2012-05-29,0.105,0.105,0.105,0.105,0.105,44391
2012-05-30,0.105,0.105,0.1,0.1,0.1,41089
2012-05-31,0.1,0.1,0.096,0.1,0.1,394323
2012-06-01,0.1,0.1,0.096,0.096,0.096,289934
2012-06-04,0.096,0.096,0.09,0.094,0.094,391986
2012-06-05,0.094,0.094,0.09,0.09,0.09,209083
2012-06-06,0.094,0.094,0.094,0.094,0.094,3000
2012-06-07,0.094,0.098,0.08900000000000001,0.095,0.095,202173
2012-06-08,0.09,0.095,0.085,0.085,0.085,810501
2012-06-12,0.085,0.08900000000000001,0.085,0.08900000000000001,0.08900000000000001,145000
2012-06-13,0.084,0.084,0.084,0.084,0.084,70000
2012-06-14,0.08199999999999999,0.08199999999999999,0.08,0.08199999999999999,0.08199999999999999,78800
2012-06-15,0.08199999999999999,0.08800000000000001,0.08199999999999999,0.08800000000000001,0.08800000000000001,73500
2012-06-18,0.085,0.085,0.085,0.085,0.085,106854
2012-06-19,0.085,0.085,0.08,0.08,0.08,149340
2012-06-20,0.08,0.08,0.08,0.08,0.08,87178
2012-06-21,0.08,0.08,0.079,0.079,0.079,75040
2012-06-22,0.077,0.077,0.077,0.077,0.077,11881
2012-06-25,0.077,0.077,0.077,0.077,0.077,81730
2012-06-26,0.077,0.077,0.07,0.07,0.07,287941
2012-06-27,0.07,0.07,0.055,0.055999999999999994,0.055999999999999994,803574
2012-06-28,0.057999999999999996,0.06,0.057999999999999996,0.06,0.06,149030
