Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,2.04,2.04,2.04,2.04,2.04,0.0
2017-10-31,,,,,,
2017-11-01,,,,,,
2017-11-02,,,,,,
2017-11-05,,,,,,
2017-11-06,,,,,,
2017-11-07,,,,,,
2017-11-08,,,,,,
2017-11-09,,,,,,
2017-11-12,,,,,,
2017-11-13,,,,,,
2017-11-14,,,,,,
2017-11-15,,,,,,
2017-11-16,,,,,,
2017-11-19,,,,,,
2017-11-20,,,,,,
2017-11-21,,,,,,
2017-11-22,,,,,,
2017-11-23,,,,,,
2017-11-26,,,,,,
2017-11-27,,,,,,
2017-11-28,,,,,,
2017-11-29,2.07,2.07,2.07,2.07,2.07,0.0
2017-11-30,,,,,,
2017-12-03,,,,,,
2017-12-04,,,,,,
2017-12-05,,,,,,
2017-12-06,,,,,,
2017-12-07,,,,,,
2017-12-10,,,,,,
2017-12-11,,,,,,
2017-12-12,,,,,,
2017-12-13,,,,,,
2017-12-14,,,,,,
2017-12-17,,,,,,
2017-12-18,,,,,,
2017-12-19,2.04,2.04,2.04,2.04,2.04,0.0
2017-12-20,2.04,2.04,2.04,2.04,2.04,0.0
2017-12-21,2.04,2.04,2.04,2.04,2.04,0.0
2017-12-26,2.04,2.04,2.04,2.04,2.04,0.0
2017-12-27,2.04,2.04,2.04,2.04,2.04,0.0
2017-12-28,2.04,2.04,2.04,2.04,2.04,0.0
2018-01-01,2.04,2.04,2.04,2.04,2.04,0.0
2018-01-02,2.04,2.04,2.04,2.04,2.04,0.0
2018-01-03,2.04,2.04,2.04,2.04,2.04,0.0
2018-01-04,2.04,2.04,2.04,2.04,2.04,0.0
2018-01-07,2.04,2.04,2.04,2.04,2.04,0.0
2018-01-08,2.04,2.04,2.04,2.04,2.04,0.0
2018-01-09,2.15,2.15,2.11,2.12,2.12,418140.0
2018-01-10,2.12,2.15,2.11,2.13,2.13,483504.0
2018-01-11,2.13,2.15,2.12,2.12,2.12,216565.0
2018-01-14,2.13,2.145,2.11,2.11,2.11,233458.0
2018-01-15,2.11,2.12,2.09,2.11,2.11,630627.0
2018-01-16,2.11,2.12,2.1,2.11,2.11,422514.0
2018-01-17,2.11,2.13,2.11,2.13,2.13,186488.0
2018-01-18,2.12,2.12,2.11,2.11,2.11,208161.0
2018-01-21,2.04,2.04,2.04,2.04,2.04,0.0
2018-01-22,2.04,2.04,2.04,2.04,2.04,0.0
2018-01-23,2.04,2.04,2.04,2.04,2.04,0.0
2018-01-24,2.04,2.04,2.04,2.04,2.04,0.0
2018-01-28,2.04,2.04,2.04,2.04,2.04,0.0
2018-01-29,2.04,2.04,2.04,2.04,2.04,0.0
2018-01-30,1.99,1.99,1.99,1.99,1.99,0.0
2018-01-31,2.04,2.04,2.04,2.04,2.04,0.0
2018-02-01,2.04,2.04,2.04,2.04,2.04,0.0
2018-02-04,2.12,2.12,2.0,2.06,2.06,592451.0
2018-02-05,2.02,2.12,2.0,2.07,2.07,633653.0
2018-02-06,2.1,2.12,2.07,2.07,2.07,707634.0
2018-02-07,2.08,2.13,2.08,2.08,2.08,359936.0
2018-02-08,2.08,2.1,2.07,2.07,2.07,520701.0
2018-02-11,2.08,2.1,2.08,2.08,2.08,223935.0
2018-02-12,2.09,2.1,2.07,2.09,2.09,412866.0
2018-02-13,2.09,2.1,2.07,2.1,2.1,308652.0
2018-02-14,2.04,2.04,2.04,2.04,2.04,0.0
2018-02-15,2.04,2.04,2.04,2.04,2.04,0.0
2018-02-18,2.04,2.04,2.04,2.04,2.04,0.0
2018-02-19,2.04,2.04,2.04,2.04,2.04,0.0
2018-02-20,2.04,2.04,2.04,2.04,2.04,0.0
2018-02-21,2.04,2.04,2.04,2.04,2.04,0.0
2018-02-22,2.04,2.04,2.04,2.04,2.04,0.0
2018-02-25,2.04,2.04,2.04,2.04,2.04,0.0
2018-02-26,2.04,2.04,2.04,2.04,2.04,0.0
2018-02-27,2.05,2.05,2.05,2.05,2.05,0.0
2018-02-28,2.04,2.04,2.04,2.04,2.04,0.0
2018-03-01,2.04,2.04,2.04,2.04,2.04,0.0
2018-03-04,2.04,2.04,2.04,2.04,2.04,0.0
2018-03-05,2.04,2.04,2.04,2.04,2.04,0.0
2018-03-06,2.04,2.04,2.04,2.04,2.04,0.0
2018-03-07,2.07,2.07,2.05,2.05,2.05,327495.0
2018-03-08,2.07,2.075,2.055,2.06,2.06,349261.0
2018-03-11,2.06,2.08,2.06,2.07,2.07,176747.0
2018-03-12,2.07,2.08,2.06,2.08,2.08,199915.0
2018-03-13,2.07,2.08,2.06,2.08,2.08,215753.0
2018-03-14,2.08,2.08,2.06,2.07,2.07,192049.0
2018-03-15,2.07,2.08,2.06,2.08,2.08,416339.0
2018-03-18,2.04,2.04,2.04,2.04,2.04,0.0
2018-03-19,2.04,2.04,2.04,2.04,2.04,0.0
2018-03-20,2.04,2.04,2.04,2.04,2.04,0.0
2018-03-21,2.04,2.04,2.04,2.04,2.04,0.0
2018-03-22,2.04,2.04,2.04,2.04,2.04,0.0
2018-03-25,2.04,2.04,2.04,2.04,2.04,0.0
2018-03-26,2.04,2.04,2.04,2.04,2.04,0.0
2018-03-27,2.04,2.04,2.04,2.04,2.04,0.0
2018-03-28,2.04,2.04,2.04,2.04,2.04,0.0
