Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,2.35,2.35,2.35,2.35,1.584671,0.0
2012-01-03,2.35,2.35,2.35,2.35,1.584671,0.0
2012-01-04,2.35,2.35,2.35,2.35,1.584671,0.0
2012-01-05,2.35,2.35,2.35,2.35,1.584671,0.0
2012-01-08,2.36,2.36,2.36,2.36,1.591415,5000.0
2012-01-09,2.36,2.36,2.35,2.35,1.584671,2000.0
2012-01-10,2.35,2.39,2.35,2.39,1.611645,12600.0
2012-01-11,2.39,2.39,2.39,2.39,1.611645,0.0
2012-01-12,2.39,2.39,2.39,2.39,1.611645,0.0
2012-01-15,2.36,2.38,2.36,2.36,1.591415,3900.0
2012-01-16,2.36,2.38,2.36,2.38,1.604902,8100.0
2012-01-17,2.38,2.38,2.36,2.36,1.591415,18905.0
2012-01-18,2.36,2.36,2.36,2.36,1.591415,0.0
2012-01-19,2.36,2.36,2.32,2.32,1.564442,2420.0
2012-01-22,2.33,2.33,2.33,2.33,1.571185,2000.0
2012-01-23,2.38,2.38,2.38,2.38,1.604902,9800.0
2012-01-24,2.38,2.38,2.38,2.38,1.604902,0.0
2012-01-26,2.34,2.34,2.32,2.32,1.564442,870.0
2012-01-29,2.5,2.5,2.5,2.5,1.685821,4800.0
2012-01-30,2.5,2.5,2.5,2.5,1.685821,0.0
2012-01-31,2.5,2.5,2.5,2.5,1.685821,0.0
2012-02-01,2.5,2.5,2.5,2.5,1.685821,0.0
2012-02-02,2.5,2.5,2.5,2.5,1.685821,0.0
2012-02-05,2.5,2.5,2.45,2.45,1.652104,4200.0
2012-02-06,2.45,2.45,2.45,2.45,1.652104,0.0
2012-02-07,2.5,2.5,2.5,2.5,1.685821,3000.0
2012-02-08,2.5,2.5,2.5,2.5,1.685821,0.0
2012-02-09,2.5,2.5,2.5,2.5,1.685821,0.0
2012-02-12,2.5,2.5,2.5,2.5,1.685821,0.0
2012-02-13,2.5,2.5,2.5,2.5,1.685821,0.0
2012-02-14,2.5,2.5,2.5,2.5,1.685821,0.0
2012-02-15,2.5,2.5,2.5,2.5,1.685821,0.0
2012-02-16,2.5,2.5,2.5,2.5,1.685821,0.0
2012-02-19,2.49,2.58,2.49,2.58,1.7397669999999998,8250.0
2012-02-20,2.58,2.58,2.58,2.58,1.7397669999999998,0.0
2012-02-21,2.45,2.45,2.45,2.45,1.652104,6000.0
2012-02-22,2.45,2.45,2.37,2.37,1.598158,6896.0
2012-02-23,2.37,2.37,2.37,2.37,1.598158,0.0
2012-02-26,2.41,2.41,2.39,2.39,1.611645,15000.0
2012-02-27,2.39,2.39,2.38,2.38,1.604902,10000.0
2012-02-28,2.35,2.35,2.35,2.35,1.639791,5000.0
2012-02-29,2.35,2.39,2.35,2.38,1.660724,7000.0
2012-03-01,2.35,2.35,2.35,2.35,1.639791,4500.0
2012-03-04,2.4,2.4,2.4,2.4,1.67468,4255.0
2012-03-05,2.36,2.36,2.36,2.36,1.646768,10745.0
2012-03-06,2.36,2.36,2.36,2.36,1.646768,4000.0
2012-03-07,2.36,2.36,2.36,2.36,1.646768,0.0
2012-03-08,2.36,2.36,2.36,2.36,1.646768,0.0
2012-03-11,2.36,2.36,2.36,2.36,1.646768,0.0
2012-03-12,2.4,2.4,2.4,2.4,1.67468,3000.0
2012-03-13,2.4,2.4,2.39,2.39,1.667702,2255.0
2012-03-14,2.39,2.39,2.39,2.39,1.667702,0.0
2012-03-15,2.39,2.4,2.34,2.34,1.6328129999999998,15040.0
2012-03-18,2.39,2.39,2.34,2.34,1.6328129999999998,2940.0
