Date,Open,High,Low,Close,Adj Close,Volume
2018-12-09,0.042,0.044,0.04,0.044,0.044,254000
2018-12-10,0.044,0.044,0.044,0.044,0.044,0
2018-12-11,0.044,0.044,0.044,0.044,0.044,0
2018-12-12,0.045,0.045,0.045,0.045,0.045,100000
2018-12-13,0.045,0.045,0.045,0.045,0.045,0
2018-12-16,0.045,0.045,0.045,0.045,0.045,0
2018-12-17,0.045,0.045,0.045,0.045,0.045,0
2018-12-18,0.035,0.044,0.035,0.044,0.044,280000
2018-12-19,0.044,0.044,0.044,0.044,0.044,0
2018-12-20,0.045,0.045,0.045,0.045,0.045,50000
2018-12-23,0.045,0.045,0.045,0.045,0.045,0
2018-12-26,0.044,0.044,0.044,0.044,0.044,67000
2018-12-27,0.044,0.044,0.044,0.044,0.044,0
2018-12-30,0.045,0.047,0.045,0.047,0.047,170000
2019-01-01,0.047,0.047,0.047,0.047,0.047,0
2019-01-02,0.045,0.045,0.042,0.042,0.042,100000
2019-01-03,0.042,0.042,0.042,0.042,0.042,0
2019-01-06,0.042,0.042,0.042,0.042,0.042,0
2019-01-07,0.042,0.042,0.042,0.042,0.042,0
2019-01-08,0.042,0.042,0.042,0.042,0.042,0
2019-01-09,0.042,0.042,0.042,0.042,0.042,0
2019-01-10,0.042,0.042,0.042,0.042,0.042,0
2019-01-13,0.042,0.042,0.042,0.042,0.042,0
2019-01-14,0.044,0.044,0.044,0.044,0.044,318000
2019-01-15,0.044,0.044,0.044,0.044,0.044,0
2019-01-16,0.04,0.04,0.04,0.04,0.04,45000
2019-01-17,0.04,0.04,0.04,0.04,0.04,0
2019-01-20,0.04,0.04,0.04,0.04,0.04,0
2019-01-21,0.04,0.04,0.04,0.04,0.04,0
2019-01-22,0.04,0.04,0.04,0.04,0.04,0
2019-01-23,0.04,0.04,0.04,0.04,0.04,0
2019-01-24,0.04,0.04,0.04,0.04,0.04,0
2019-01-28,0.04,0.04,0.04,0.04,0.04,0
2019-01-29,0.04,0.04,0.04,0.04,0.04,0
2019-01-30,0.04,0.04,0.04,0.04,0.04,0
2019-01-31,0.04,0.04,0.04,0.04,0.04,0
2019-02-03,0.04,0.04,0.04,0.04,0.04,0
2019-02-04,0.04,0.04,0.04,0.04,0.04,0
2019-02-05,0.039,0.039,0.039,0.039,0.039,200000
2019-02-06,0.039,0.04,0.039,0.04,0.04,70500
2019-02-07,0.04,0.04,0.04,0.04,0.04,0
2019-02-10,0.04,0.04,0.04,0.04,0.04,0
2019-02-11,0.04,0.04,0.04,0.04,0.04,0
2019-02-12,0.039,0.039,0.039,0.039,0.039,29500
2019-02-13,0.039,0.039,0.039,0.039,0.039,17500
2019-02-14,0.039,0.039,0.039,0.039,0.039,0
2019-02-17,0.039,0.039,0.039,0.039,0.039,0
2019-02-18,0.039,0.039,0.039,0.039,0.039,0
2019-02-19,0.039,0.039,0.039,0.039,0.039,0
2019-02-20,0.039,0.039,0.039,0.039,0.039,0
2019-02-21,0.038,0.038,0.035,0.035,0.035,125000
2019-02-24,0.035,0.035,0.035,0.035,0.035,0
2019-02-25,0.035,0.035,0.035,0.035,0.035,0
2019-02-26,0.035,0.035,0.035,0.035,0.035,0
2019-02-27,0.035,0.035,0.035,0.035,0.035,0
2019-02-28,0.034,0.035,0.034,0.035,0.035,265590
2019-03-03,0.035,0.035,0.031,0.031,0.031,165000
2019-03-04,0.031,0.031,0.031,0.031,0.031,0
2019-03-05,0.031,0.031,0.031,0.031,0.031,0
2019-03-06,0.029,0.03,0.029,0.03,0.03,382900
2019-03-07,0.03,0.03,0.03,0.03,0.03,17100
2019-03-10,0.031,0.031,0.022,0.025,0.025,327316
2019-03-11,0.031,0.031,0.022,0.025,0.025,327316
2019-03-12,0.025,0.025,0.025,0.025,0.025,2000
2019-03-13,0.025,0.03,0.025,0.03,0.03,144230
2019-03-14,0.029,0.029,0.029,0.029,0.029,85000
2019-03-17,0.025,0.025,0.025,0.025,0.025,50000
2019-03-18,0.025,0.025,0.025,0.025,0.025,0
2019-03-19,0.025,0.025,0.025,0.025,0.025,0
