Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,10.0,10.0,10.0,10.0,10.0,800.0
2012-01-03,10.5,10.5,10.0,10.5,10.5,150.0
2012-01-04,10.5,10.5,10.5,10.5,10.5,0.0
2012-01-05,11.0,11.0,11.0,11.0,11.0,60.0
2012-01-08,10.0,10.0,9.5,9.5,9.5,300.0
2012-01-09,9.5,9.5,9.5,9.5,9.5,0.0
2012-01-10,10.0,10.0,10.0,10.0,10.0,24.0
2012-01-11,9.5,9.5,9.5,9.5,9.5,0.0
2012-01-12,9.5,9.5,9.5,9.5,9.5,0.0
2012-01-15,9.5,9.5,9.5,9.5,9.5,0.0
2012-01-16,10.0,10.0,10.0,10.0,10.0,194.0
2012-01-17,10.5,10.5,10.5,10.5,10.5,106.0
2012-01-18,11.0,12.5,11.0,11.0,11.0,2579.0
2012-01-19,11.5,11.5,11.0,11.0,11.0,1097.0
2012-01-22,12.0,13.0,12.0,13.0,13.0,1912.0
2012-01-23,12.5,12.5,12.5,12.5,12.5,500.0
2012-01-24,12.5,12.5,12.5,12.5,12.5,0.0
2012-01-26,11.5,12.0,11.5,12.0,12.0,260.0
2012-01-29,12.0,12.0,12.0,12.0,12.0,420.0
2012-01-30,12.0,12.0,11.5,12.0,12.0,888.0
2012-01-31,11.5,11.5,11.5,11.5,11.5,980.0
2012-02-01,11.5,12.0,11.5,12.0,12.0,524.0
2012-02-02,12.0,12.0,12.0,12.0,12.0,0.0
2012-02-05,12.0,13.5,12.0,13.5,13.5,658.0
2012-02-06,11.5,12.0,11.5,12.0,12.0,216.0
2012-02-07,12.0,12.0,12.0,12.0,12.0,0.0
2012-02-08,12.0,12.0,12.0,12.0,12.0,140.0
2012-02-09,12.5,12.5,12.5,12.5,12.5,244.0
2012-02-12,12.5,12.5,12.5,12.5,12.5,0.0
2012-02-13,12.0,12.5,12.0,12.0,12.0,629.0
2012-02-14,12.0,13.0,12.0,12.5,12.5,1758.0
2012-02-15,12.5,12.5,12.0,12.0,12.0,1093.0
2012-02-16,12.5,13.0,12.0,12.0,12.0,2583.0
2012-02-19,12.0,12.0,12.0,12.0,12.0,1100.0
2012-02-20,11.5,11.5,11.0,11.0,11.0,3500.0
2012-02-21,11.0,11.0,11.0,11.0,11.0,0.0
2012-02-22,11.0,11.0,11.0,11.0,11.0,602.0
2012-02-23,11.0,11.0,11.0,11.0,11.0,600.0
2012-02-26,10.5,10.5,10.5,10.5,10.5,550.0
2012-02-27,10.5,10.5,10.5,10.5,10.5,0.0
2012-02-28,11.5,11.5,11.0,11.0,11.0,2080.0
2012-02-29,11.0,11.0,10.5,10.5,10.5,1400.0
2012-03-01,10.5,10.5,10.5,10.5,10.5,0.0
2012-03-04,11.5,11.5,11.0,11.0,11.0,934.0
2012-03-05,10.5,10.5,10.5,10.5,10.5,0.0
2012-03-06,10.5,10.5,10.5,10.5,10.5,0.0
2012-03-07,10.5,10.5,10.5,10.5,10.5,0.0
2012-03-08,10.5,10.5,10.0,10.0,10.0,2368.0
2012-03-11,10.5,11.0,10.5,11.0,11.0,454.0
2012-03-12,11.5,12.0,11.5,12.0,12.0,797.0
2012-03-13,12.0,13.5,11.0,11.0,11.0,5846.0
2012-03-14,11.0,11.0,11.0,11.0,11.0,0.0
2012-03-15,11.0,11.0,11.0,11.0,11.0,0.0
2012-03-18,11.5,11.5,11.0,11.0,11.0,1007.0
2012-03-19,11.0,11.0,11.0,11.0,11.0,0.0
2012-03-20,11.0,11.0,11.0,11.0,11.0,600.0
2012-03-21,11.0,11.0,11.0,11.0,11.0,0.0
2012-03-22,11.0,11.0,11.0,11.0,11.0,0.0
2012-03-25,11.0,11.0,11.0,11.0,11.0,78.0
2012-03-26,11.0,11.0,11.0,11.0,11.0,0.0
2012-03-27,12.0,12.0,12.0,12.0,12.0,362.0
2012-03-28,11.5,11.5,11.5,11.5,11.5,353.0
2012-03-29,11.0,11.0,11.0,11.0,11.0,1260.0
2012-04-02,11.0,11.0,10.5,10.5,10.5,1494.0
2012-04-03,11.0,11.0,10.0,10.0,10.0,1744.0
2012-04-04,10.5,10.5,10.5,10.5,10.5,710.0
2012-04-05,10.5,10.5,10.5,10.5,10.5,40.0
2012-04-10,10.5,10.5,10.0,10.0,10.0,220.0
2012-04-11,10.0,10.0,10.0,10.0,10.0,0.0
2012-04-12,10.0,10.0,10.0,10.0,10.0,0.0
2012-04-13,10.5,11.0,10.5,11.0,11.0,272.0
2012-04-16,11.0,11.0,11.0,11.0,11.0,0.0
2012-04-17,10.0,10.0,9.5,9.5,9.5,1529.0
2012-04-18,9.5,9.5,9.5,9.5,9.5,843.0
2012-04-19,9.5,10.0,9.5,9.5,9.5,600.0
2012-04-20,10.0,10.0,9.0,9.0,9.0,143.0
2012-04-23,9.5,9.5,9.0,9.0,9.0,440.0
2012-04-24,9.0,9.0,9.0,9.0,9.0,0.0
2012-04-26,9.0,9.0,9.0,9.0,9.0,500.0
2012-04-27,9.0,9.0,8.5,9.0,9.0,750.0
2012-04-30,8.5,8.5,8.5,8.5,8.5,216.0
2012-05-01,8.5,8.5,7.5,7.5,7.5,2234.0
2012-05-02,8.0,8.0,8.0,8.0,8.0,1200.0
2012-05-03,8.0,8.0,8.0,8.0,8.0,740.0
2012-05-04,8.5,8.5,8.5,8.5,8.5,450.0
2012-05-07,8.0,8.0,8.0,8.0,8.0,631.0
2012-05-08,8.0,8.0,7.5,7.5,7.5,3007.0
2012-05-09,7.5,7.5,7.5,7.5,7.5,6.0
2012-05-10,7.5,7.5,7.0,7.0,7.0,682.0
2012-05-11,6.5,7.5,6.5,7.5,7.5,1680.0
2012-05-14,7.5,7.5,7.5,7.5,7.5,16.0
2012-05-15,7.5,7.5,7.5,7.5,7.5,784.0
2012-05-16,7.0,7.0,6.5,6.5,6.5,2199.0
2012-05-17,7.0,7.0,6.0,6.5,6.5,5180.0
2012-05-18,6.5,6.5,5.5,6.0,6.0,5674.0
2012-05-21,6.0,6.0,6.0,6.0,6.0,2060.0
2012-05-22,6.0,6.0,6.0,6.0,6.0,663.0
2012-05-23,6.0,6.0,5.5,5.5,5.5,266.0
2012-05-24,5.5,5.5,5.5,5.5,5.5,0.0
2012-05-25,6.0,6.5,5.0,5.5,5.5,6452.0
2012-05-28,5.0,5.0,5.0,5.0,5.0,580.0
2012-05-29,5.0,5.5,5.0,5.0,5.0,3100.0
2012-05-30,5.0,5.5,5.0,5.5,5.5,4822.0
2012-05-31,5.5,5.5,5.5,5.5,5.5,80.0
2012-06-01,5.5,5.5,5.0,5.0,5.0,806.0
2012-06-04,5.5,6.0,5.5,5.5,5.5,1092.0
2012-06-05,5.5,5.5,5.0,5.5,5.5,5230.0
2012-06-06,5.5,5.5,5.5,5.5,5.5,1000.0
2012-06-07,5.5,5.5,5.5,5.5,5.5,1690.0
2012-06-08,6.0,7.0,6.0,7.0,7.0,5698.0
2012-06-12,6.5,6.5,6.0,6.0,6.0,1523.0
2012-06-13,6.0,6.5,6.0,6.5,6.5,452.0
2012-06-14,6.0,6.0,6.0,6.0,6.0,400.0
2012-06-15,6.5,6.5,6.0,6.0,6.0,954.0
2012-06-18,6.0,6.0,6.0,6.0,6.0,1096.0
2012-06-19,6.0,6.0,6.0,6.0,6.0,0.0
