asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
8CO,2019-05-06,Software & Services,24780000.0,21530000.0,,,,9.91,4.47,8.61,-20.76
8CO,2019-05-07,Software & Services,22590000.0,21530000.0,,,,9.04,4.08,8.61,-20.76
8CO,2019-05-08,Software & Services,23320000.0,22260000.0,,,,9.33,4.21,8.9,-21.47
8CO,2019-05-09,Software & Services,23320000.0,22260000.0,,,,9.33,4.21,8.9,-21.47
8CO,2019-05-10,Software & Services,26960000.0,22260000.0,,,,10.78,4.87,8.9,-21.47
8CO,2019-05-13,Software & Services,25510000.0,26630000.0,,,,10.2,4.61,10.65,-25.68
8CO,2019-05-14,Software & Services,22590000.0,26630000.0,,,,9.04,4.08,10.65,-25.68
8CO,2019-05-15,Software & Services,24050000.0,26630000.0,,,,9.62,4.34,10.65,-25.68
8CO,2019-05-16,Software & Services,22590000.0,26630000.0,,,,9.04,4.08,10.65,-25.68
8CO,2019-05-17,Software & Services,24050000.0,23720000.0,,,,9.62,4.34,9.49,-22.87
8CO,2019-05-20,Software & Services,24780000.0,23720000.0,,,,9.91,4.47,9.49,-22.87
8CO,2019-05-21,Software & Services,24050000.0,24450000.0,,,,9.62,4.34,9.78,-23.58
8CO,2019-05-22,Software & Services,25510000.0,24450000.0,,,,10.2,4.61,9.78,-23.58
8CO,2019-05-23,Software & Services,26270000.0,24450000.0,,,,10.51,4.74,9.78,-23.58
8CO,2019-05-27,Software & Services,22620000.0,25910000.0,,,,9.05,4.08,10.36,-24.98
8CO,2019-05-28,Software & Services,25090000.0,25910000.0,,,,10.03,4.47,10.36,-24.98
8CO,2019-05-29,Software & Services,24350000.0,25910000.0,,,,9.74,4.34,10.36,-24.98
8CO,2019-05-30,Software & Services,22870000.0,25910000.0,,,,9.15,4.08,10.36,-24.98
8CO,2019-06-01,Software & Services,23610000.0,25910000.0,,,,9.44,4.21,10.36,-24.98
8CO,2019-06-03,Software & Services,24350000.0,22990000.0,,,,9.74,4.34,9.19,-22.17
8CO,2019-06-04,Software & Services,23610000.0,22990000.0,,,,9.44,4.21,9.19,-22.17
8CO,2019-06-05,Software & Services,22870000.0,22990000.0,,,,9.15,4.08,9.19,-22.17
8CO,2019-06-06,Software & Services,24350000.0,22990000.0,,,,9.74,4.34,9.19,-22.17
