asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
ABX,2019-05-06,Materials,14600000.0,12750000.0,,,,82.47,0.88,72.05,-5.53
ABX,2019-05-07,Materials,15330000.0,12750000.0,,,,86.59,0.92,72.05,-5.53
ABX,2019-05-08,Materials,14600000.0,13480000.0,,,,82.47,0.88,76.17,-5.85
ABX,2019-05-09,Materials,16060000.0,13480000.0,,,,90.71,0.96,76.17,-5.85
ABX,2019-05-10,Materials,16790000.0,14210000.0,,,,94.84,1.01,80.3,-6.17
ABX,2019-05-13,Materials,16060000.0,14940000.0,,,,90.71,0.96,84.42,-6.48
ABX,2019-05-14,Materials,16060000.0,14210000.0,,,,90.71,0.96,80.3,-6.17
ABX,2019-05-15,Materials,16060000.0,14210000.0,,,,90.71,0.96,80.3,-6.17
ABX,2019-05-16,Materials,16060000.0,14210000.0,,,,90.71,0.96,80.3,-6.17
ABX,2019-05-17,Materials,17520000.0,14210000.0,,,,98.96,1.05,80.3,-6.17
ABX,2019-05-20,Materials,17520000.0,15670000.0,,,,98.96,1.05,88.54,-6.8
ABX,2019-05-21,Materials,16790000.0,15670000.0,,,,94.84,1.01,88.54,-6.8
ABX,2019-05-22,Materials,16060000.0,15670000.0,,,,90.71,0.96,88.54,-6.8
ABX,2019-05-23,Materials,16060000.0,15670000.0,,,,90.71,0.96,88.54,-6.8
ABX,2019-05-27,Materials,17520000.0,14210000.0,,,,98.96,1.05,80.3,-6.17
ABX,2019-05-28,Materials,16790000.0,14210000.0,,,,94.84,1.01,80.3,-6.17
ABX,2019-05-29,Materials,16060000.0,14210000.0,,,,90.71,0.96,80.3,-6.17
ABX,2019-05-30,Materials,16790000.0,14210000.0,,,,94.84,1.01,80.3,-6.17
ABX,2019-06-01,Materials,16790000.0,14210000.0,,,,94.84,1.01,80.3,-6.17
ABX,2019-06-03,Materials,16790000.0,14940000.0,,,,94.84,1.01,84.42,-6.48
ABX,2019-06-04,Materials,16790000.0,14940000.0,,,,94.84,1.01,84.42,-6.48
ABX,2019-06-05,Materials,16790000.0,14940000.0,,,,94.84,1.01,84.42,-6.48
ABX,2019-06-06,Materials,16790000.0,14940000.0,,,,94.84,1.01,84.42,-6.48
