asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
ADO,2019-05-06,"Pharmaceuticals, Biotechnology & Life Sciences",20880000.0,18570000.0,,,,19.87,9.0,17.68,-9.9
ADO,2019-05-07,"Pharmaceuticals, Biotechnology & Life Sciences",20880000.0,18570000.0,,,,19.87,9.0,17.68,-9.9
ADO,2019-05-08,"Pharmaceuticals, Biotechnology & Life Sciences",16240000.0,18570000.0,,,,15.46,7.0,17.68,-9.9
ADO,2019-05-09,"Pharmaceuticals, Biotechnology & Life Sciences",17400000.0,18570000.0,,,,16.56,7.5,17.68,-9.9
ADO,2019-05-10,"Pharmaceuticals, Biotechnology & Life Sciences",16620000.0,15100000.0,,,,15.82,7.17,14.37,-8.05
ADO,2019-05-13,"Pharmaceuticals, Biotechnology & Life Sciences",16240000.0,14320000.0,,,,15.46,7.0,13.63,-7.63
ADO,2019-05-14,"Pharmaceuticals, Biotechnology & Life Sciences",15080000.0,13940000.0,,,,14.35,6.5,13.27,-7.43
ADO,2019-05-15,"Pharmaceuticals, Biotechnology & Life Sciences",15080000.0,13940000.0,,,,14.35,6.5,13.27,-7.43
ADO,2019-05-16,"Pharmaceuticals, Biotechnology & Life Sciences",15080000.0,13940000.0,,,,14.35,6.5,13.27,-7.43
ADO,2019-05-17,"Pharmaceuticals, Biotechnology & Life Sciences",15080000.0,12780000.0,,,,14.35,6.5,12.16,-6.81
ADO,2019-05-20,"Pharmaceuticals, Biotechnology & Life Sciences",15080000.0,12780000.0,,,,14.35,6.5,12.16,-6.81
ADO,2019-05-21,"Pharmaceuticals, Biotechnology & Life Sciences",15080000.0,12780000.0,,,,14.35,6.5,12.16,-6.81
ADO,2019-05-22,"Pharmaceuticals, Biotechnology & Life Sciences",15080000.0,12780000.0,,,,14.35,6.5,12.16,-6.81
ADO,2019-05-23,"Pharmaceuticals, Biotechnology & Life Sciences",15080000.0,12780000.0,,,,14.35,6.5,12.16,-6.81
ADO,2019-05-27,"Pharmaceuticals, Biotechnology & Life Sciences",16240000.0,12780000.0,,,,15.46,7.0,12.16,-6.81
ADO,2019-05-28,"Pharmaceuticals, Biotechnology & Life Sciences",16240000.0,12780000.0,,,,15.46,7.0,12.16,-6.81
ADO,2019-05-29,"Pharmaceuticals, Biotechnology & Life Sciences",16240000.0,12780000.0,,,,15.46,7.0,12.16,-6.81
ADO,2019-05-30,"Pharmaceuticals, Biotechnology & Life Sciences",15080000.0,12780000.0,,,,14.35,6.5,12.16,-6.81
ADO,2019-06-01,"Pharmaceuticals, Biotechnology & Life Sciences",15080000.0,12780000.0,,,,14.35,6.5,12.16,-6.81
ADO,2019-06-03,"Pharmaceuticals, Biotechnology & Life Sciences",18560000.0,12780000.0,,,,17.66,8.0,12.16,-6.81
ADO,2019-06-04,"Pharmaceuticals, Biotechnology & Life Sciences",17400000.0,12780000.0,,,,16.56,7.5,12.16,-6.81
ADO,2019-06-05,"Pharmaceuticals, Biotechnology & Life Sciences",17400000.0,15100000.0,,,,16.56,7.5,14.37,-8.05
ADO,2019-06-06,"Pharmaceuticals, Biotechnology & Life Sciences",15080000.0,15100000.0,,,,14.35,6.5,14.37,-8.05
