asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
AHF,2019-05-06,"Food, Beverage & Tobacco",40100000.0,75810000.0,,,,2.06,4.29,3.89,-23.93
AHF,2019-05-07,"Food, Beverage & Tobacco",40100000.0,75810000.0,,,,2.06,4.29,3.89,-23.93
AHF,2019-05-08,"Food, Beverage & Tobacco",38760000.0,75810000.0,,,,1.99,4.14,3.89,-23.93
AHF,2019-05-09,"Food, Beverage & Tobacco",38760000.0,75810000.0,,,,1.99,4.14,3.89,-23.93
AHF,2019-05-10,"Food, Beverage & Tobacco",38760000.0,74470000.0,,,,1.99,4.14,3.82,-23.51
AHF,2019-05-13,"Food, Beverage & Tobacco",38760000.0,74470000.0,,,,1.99,4.14,3.82,-23.51
AHF,2019-05-14,"Food, Beverage & Tobacco",38760000.0,74470000.0,,,,1.99,4.14,3.82,-23.51
AHF,2019-05-15,"Food, Beverage & Tobacco",37430000.0,74470000.0,,,,1.92,4.0,3.82,-23.51
AHF,2019-05-16,"Food, Beverage & Tobacco",37430000.0,74470000.0,,,,1.92,4.0,3.82,-23.51
AHF,2019-05-17,"Food, Beverage & Tobacco",37430000.0,73140000.0,,,,1.92,4.0,3.75,-23.09
AHF,2019-05-20,"Food, Beverage & Tobacco",38760000.0,73140000.0,,,,1.99,4.14,3.75,-23.09
AHF,2019-05-21,"Food, Beverage & Tobacco",38760000.0,74470000.0,,,,1.99,4.14,3.82,-23.51
AHF,2019-05-22,"Food, Beverage & Tobacco",46780000.0,74470000.0,,,,2.4,5.0,3.82,-23.51
AHF,2019-05-23,"Food, Beverage & Tobacco",48120000.0,74470000.0,,,,2.47,5.14,3.82,-23.51
AHF,2019-05-27,"Food, Beverage & Tobacco",50790000.0,83830000.0,,,,2.61,5.43,4.3,-26.47
AHF,2019-05-28,"Food, Beverage & Tobacco",46780000.0,83830000.0,,,,2.4,5.0,4.3,-26.47
AHF,2019-05-29,"Food, Beverage & Tobacco",50790000.0,83830000.0,,,,2.61,5.43,4.3,-26.47
AHF,2019-05-30,"Food, Beverage & Tobacco",50790000.0,83830000.0,,,,2.61,5.43,4.3,-26.47
AHF,2019-06-01,"Food, Beverage & Tobacco",49460000.0,83830000.0,,,,2.54,5.29,4.3,-26.47
AHF,2019-06-03,"Food, Beverage & Tobacco",48120000.0,85170000.0,,,,2.47,5.14,4.37,-26.89
AHF,2019-06-04,"Food, Beverage & Tobacco",46780000.0,85170000.0,,,,2.4,5.0,4.37,-26.89
AHF,2019-06-05,"Food, Beverage & Tobacco",48120000.0,82490000.0,,,,2.47,5.14,4.23,-26.05
AHF,2019-06-06,"Food, Beverage & Tobacco",46780000.0,82490000.0,,,,2.4,5.0,4.23,-26.05
