asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
AJX,2019-05-06,Materials,51820000.0,53860000.0,,,,7.8,13.64,8.11,-10.77
AJX,2019-05-07,Materials,50090000.0,53860000.0,,,,7.54,13.18,8.11,-10.77
AJX,2019-05-08,Materials,53540000.0,50400000.0,,,,8.06,14.09,7.59,-10.08
AJX,2019-05-09,Materials,48360000.0,50400000.0,,,,7.28,12.73,7.59,-10.08
AJX,2019-05-10,Materials,48360000.0,48680000.0,,,,7.28,12.73,7.33,-9.73
AJX,2019-05-13,Materials,50090000.0,48680000.0,,,,7.54,13.18,7.33,-9.73
AJX,2019-05-14,Materials,50090000.0,50400000.0,,,,7.54,13.18,7.59,-10.08
AJX,2019-05-15,Materials,50090000.0,50400000.0,,,,7.54,13.18,7.59,-10.08
AJX,2019-05-16,Materials,50090000.0,50400000.0,,,,7.54,13.18,7.59,-10.08
AJX,2019-05-17,Materials,48360000.0,50400000.0,,,,7.28,12.73,7.59,-10.08
AJX,2019-05-20,Materials,48360000.0,48680000.0,,,,7.28,12.73,7.33,-9.73
AJX,2019-05-21,Materials,50090000.0,48680000.0,,,,7.54,13.18,7.33,-9.73
AJX,2019-05-22,Materials,50090000.0,48680000.0,,,,7.54,13.18,7.33,-9.73
AJX,2019-05-23,Materials,51820000.0,48680000.0,,,,7.8,13.64,7.33,-9.73
AJX,2019-05-27,Materials,48360000.0,52130000.0,,,,7.28,12.73,7.85,-10.42
AJX,2019-05-28,Materials,48360000.0,52130000.0,,,,7.28,12.73,7.85,-10.42
AJX,2019-05-29,Materials,46630000.0,52130000.0,,,,7.02,12.27,7.85,-10.42
AJX,2019-05-30,Materials,46630000.0,52130000.0,,,,7.02,12.27,7.85,-10.42
AJX,2019-06-01,Materials,44910000.0,52130000.0,,,,6.76,11.82,7.85,-10.42
AJX,2019-06-03,Materials,44910000.0,45220000.0,,,,6.76,11.82,6.81,-9.04
AJX,2019-06-04,Materials,43180000.0,45220000.0,,,,6.5,11.36,6.81,-9.04
AJX,2019-06-05,Materials,41450000.0,43500000.0,,,,6.24,10.91,6.55,-8.69
AJX,2019-06-06,Materials,41450000.0,43500000.0,,,,6.24,10.91,6.55,-8.69
