asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
AKM,2019-05-06,Materials,66530000.0,50710000.0,,,,390.57,1.25,297.7,-7.83
AKM,2019-05-07,Materials,59880000.0,50710000.0,,,,351.51,1.12,297.7,-7.83
AKM,2019-05-08,Materials,63200000.0,44060000.0,,,,371.04,1.19,258.65,-6.8
AKM,2019-05-09,Materials,59880000.0,44060000.0,,,,351.51,1.12,258.65,-6.8
AKM,2019-05-10,Materials,63200000.0,44060000.0,,,,371.04,1.19,258.65,-6.8
AKM,2019-05-15,Materials,59880000.0,47380000.0,,,,351.51,1.12,278.17,-7.32
AKM,2019-05-20,Materials,59880000.0,47380000.0,,,,351.51,1.12,278.17,-7.32
AKM,2019-05-21,Materials,59880000.0,44060000.0,,,,351.51,1.12,258.65,-6.8
AKM,2019-05-22,Materials,63200000.0,44060000.0,,,,371.04,1.19,258.65,-6.8
AKM,2019-05-23,Materials,63200000.0,44060000.0,,,,371.04,1.19,258.65,-6.8
AKM,2019-05-27,Materials,59880000.0,47380000.0,,,,351.51,1.12,278.17,-7.32
AKM,2019-05-28,Materials,59880000.0,47380000.0,,,,351.51,1.12,278.17,-7.32
AKM,2019-05-29,Materials,59880000.0,47380000.0,,,,351.51,1.12,278.17,-7.32
AKM,2019-05-30,Materials,56550000.0,47380000.0,,,,331.99,1.06,278.17,-7.32
AKM,2019-06-01,Materials,59880000.0,47380000.0,,,,351.51,1.12,278.17,-7.32
AKM,2019-06-03,Materials,56550000.0,44060000.0,,,,331.99,1.06,258.65,-6.8
AKM,2019-06-04,Materials,56550000.0,44060000.0,,,,331.99,1.06,258.65,-6.8
AKM,2019-06-05,Materials,56550000.0,40730000.0,,,,331.99,1.06,239.12,-6.29
AKM,2019-06-06,Materials,53220000.0,40730000.0,,,,312.46,1.0,239.12,-6.29
