asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
AKP,2019-05-06,Consumer Durables & Apparel,559810000.0,555020000.0,,,,6437.46,42.54,6382.35,-129.61
AKP,2019-05-07,Consumer Durables & Apparel,560370000.0,555020000.0,,,,6443.96,42.58,6382.35,-129.61
AKP,2019-05-08,Consumer Durables & Apparel,543960000.0,549350000.0,,,,6255.2,41.33,6317.26,-128.29
AKP,2019-05-09,Consumer Durables & Apparel,566030000.0,549350000.0,,,,6509.06,43.01,6317.26,-128.29
AKP,2019-05-10,Consumer Durables & Apparel,566030000.0,555020000.0,,,,6509.06,43.01,6382.35,-129.61
AKP,2019-05-13,Consumer Durables & Apparel,551880000.0,555020000.0,,,,6346.33,41.94,6382.35,-129.61
AKP,2019-05-14,Consumer Durables & Apparel,550470000.0,540860000.0,,,,6330.06,41.83,6219.62,-126.31
AKP,2019-05-15,Consumer Durables & Apparel,566030000.0,540860000.0,,,,6509.06,43.01,6219.62,-126.31
AKP,2019-05-16,Consumer Durables & Apparel,563200000.0,540860000.0,,,,6476.51,42.8,6219.62,-126.31
AKP,2019-05-17,Consumer Durables & Apparel,543390000.0,552190000.0,,,,6248.69,41.29,6349.8,-128.95
AKP,2019-05-20,Consumer Durables & Apparel,544810000.0,532370000.0,,,,6264.97,41.4,6121.98,-124.33
AKP,2019-05-21,Consumer Durables & Apparel,566030000.0,533790000.0,,,,6509.06,43.01,6138.26,-124.66
AKP,2019-05-22,Consumer Durables & Apparel,543680000.0,533790000.0,,,,6251.95,41.31,6138.26,-124.66
AKP,2019-05-23,Consumer Durables & Apparel,565750000.0,533790000.0,,,,6505.8,42.99,6138.26,-124.66
AKP,2019-05-27,Consumer Durables & Apparel,506880000.0,554730000.0,,,,5828.86,38.52,6379.09,-129.55
AKP,2019-05-28,Consumer Durables & Apparel,509430000.0,554730000.0,,,,5858.15,38.71,6379.09,-129.55
AKP,2019-05-29,Consumer Durables & Apparel,521320000.0,554730000.0,,,,5994.84,39.61,6379.09,-129.55
AKP,2019-05-30,Consumer Durables & Apparel,526130000.0,554730000.0,,,,6050.17,39.98,6379.09,-129.55
AKP,2019-06-01,Consumer Durables & Apparel,513680000.0,554730000.0,,,,5906.97,39.03,6379.09,-129.55
AKP,2019-06-03,Consumer Durables & Apparel,504340000.0,502660000.0,,,,5799.57,38.32,5780.26,-117.39
AKP,2019-06-04,Consumer Durables & Apparel,503770000.0,502660000.0,,,,5793.06,38.28,5780.26,-117.39
AKP,2019-06-05,Consumer Durables & Apparel,499520000.0,492750000.0,,,,5744.24,37.96,5666.35,-115.07
AKP,2019-06-06,Consumer Durables & Apparel,508300000.0,492750000.0,,,,5845.13,38.62,5666.35,-115.07
