asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
AMP,2019-05-06,Diversified Financials,6470000000.0,-86370000000.0,221.0,,,0.78,0.96,-10.42,-296.8
AMP,2019-05-07,Diversified Financials,6410000000.0,-86370000000.0,219.0,,,0.77,0.96,-10.42,-296.8
AMP,2019-05-08,Diversified Financials,6380000000.0,-86510000000.0,218.0,,,0.77,0.95,-10.44,-297.3
AMP,2019-05-09,Diversified Financials,6470000000.0,-86510000000.0,221.0,,,0.78,0.96,-10.44,-297.3
AMP,2019-05-10,Diversified Financials,6490000000.0,-86450000000.0,222.0,,,0.78,0.97,-10.43,-297.1
AMP,2019-05-13,Diversified Financials,6470000000.0,-86430000000.0,221.0,,,0.78,0.96,-10.43,-297.0
AMP,2019-05-14,Diversified Financials,6320000000.0,-86450000000.0,216.0,,,0.76,0.94,-10.43,-297.1
AMP,2019-05-15,Diversified Financials,6350000000.0,-86450000000.0,217.0,,,0.77,0.95,-10.43,-297.1
AMP,2019-05-16,Diversified Financials,6520000000.0,-86450000000.0,223.0,,,0.79,0.97,-10.43,-297.1
AMP,2019-05-17,Diversified Financials,6440000000.0,-86400000000.0,220.0,,,0.78,0.96,-10.43,-296.9
AMP,2019-05-20,Diversified Financials,6640000000.0,-86480000000.0,227.0,,,0.8,0.99,-10.44,-297.2
AMP,2019-05-21,Diversified Financials,6640000000.0,-86280000000.0,227.0,,,0.8,0.99,-10.41,-296.49
AMP,2019-05-22,Diversified Financials,6470000000.0,-86280000000.0,221.0,,,0.78,0.96,-10.41,-296.49
AMP,2019-05-23,Diversified Financials,6410000000.0,-86280000000.0,219.0,,,0.77,0.96,-10.41,-296.49
AMP,2019-05-27,Diversified Financials,6380000000.0,-86510000000.0,218.0,,,0.77,0.95,-10.44,-297.3
AMP,2019-05-28,Diversified Financials,6440000000.0,-86510000000.0,220.0,,,0.78,0.96,-10.44,-297.3
AMP,2019-05-29,Diversified Financials,6410000000.0,-86510000000.0,219.0,,,0.77,0.96,-10.44,-297.3
AMP,2019-05-30,Diversified Financials,6380000000.0,-86510000000.0,218.0,,,0.77,0.95,-10.44,-297.3
AMP,2019-06-01,Diversified Financials,6350000000.0,-86510000000.0,217.0,,,0.77,0.95,-10.44,-297.3
AMP,2019-06-03,Diversified Financials,6260000000.0,-86570000000.0,214.0,,,0.76,0.93,-10.45,-297.5
AMP,2019-06-04,Diversified Financials,6200000000.0,-86570000000.0,212.0,,,0.75,0.92,-10.45,-297.5
AMP,2019-06-05,Diversified Financials,6200000000.0,-86720000000.0,212.0,,,0.75,0.92,-10.47,-298.0
AMP,2019-06-06,Diversified Financials,6170000000.0,-86720000000.0,211.0,,,0.74,0.92,-10.47,-298.0
