asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
APW,2019-05-06,Real Estate,63110000.0,62220000.0,5.51,,,4.63,0.59,4.57,
APW,2019-05-07,Real Estate,64230000.0,62220000.0,5.6,,,4.71,0.6,4.57,
APW,2019-05-08,Real Estate,64450000.0,61990000.0,5.62,,,4.73,0.61,4.55,
APW,2019-05-09,Real Estate,64450000.0,61990000.0,5.62,,,4.73,0.61,4.55,
APW,2019-05-10,Real Estate,64450000.0,62220000.0,5.62,,,4.73,0.61,4.57,
APW,2019-05-13,Real Estate,64450000.0,62220000.0,5.62,,,4.73,0.61,4.57,
APW,2019-05-14,Real Estate,64450000.0,62220000.0,5.62,,,4.73,0.61,4.57,
APW,2019-05-15,Real Estate,63340000.0,62220000.0,5.53,,,4.65,0.6,4.57,
APW,2019-05-16,Real Estate,63340000.0,62220000.0,5.53,,,4.65,0.6,4.57,
APW,2019-05-17,Real Estate,62670000.0,61100000.0,5.47,,,4.6,0.59,4.48,
