asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
ARA,2019-05-06,Commercial & Professional Services,125610000.0,101220000.0,20.97,,,4.03,0.82,3.24,5.45
ARA,2019-05-07,Commercial & Professional Services,125610000.0,101220000.0,20.97,,,4.03,0.82,3.24,5.45
ARA,2019-05-08,Commercial & Professional Services,121750000.0,101220000.0,20.32,,,3.9,0.79,3.24,5.45
ARA,2019-05-09,Commercial & Professional Services,121750000.0,101220000.0,20.32,,,3.9,0.79,3.24,5.45
ARA,2019-05-10,Commercial & Professional Services,121750000.0,101220000.0,20.32,,,3.9,0.79,3.24,5.45
ARA,2019-05-15,Commercial & Professional Services,121750000.0,97250000.0,20.32,,,3.9,0.79,3.12,5.24
ARA,2019-05-20,Commercial & Professional Services,125610000.0,101220000.0,20.97,,,4.03,0.82,3.24,5.45
ARA,2019-05-21,Commercial & Professional Services,127550000.0,101220000.0,21.29,,,4.09,0.83,3.24,5.45
ARA,2019-05-22,Commercial & Professional Services,127550000.0,101220000.0,21.29,,,4.09,0.83,3.24,5.45
ARA,2019-05-23,Commercial & Professional Services,120780000.0,101220000.0,20.16,,,3.87,0.79,3.24,5.45
ARA,2019-05-27,Commercial & Professional Services,120780000.0,101220000.0,20.16,,,3.87,0.79,3.24,5.45
ARA,2019-05-28,Commercial & Professional Services,120780000.0,96250000.0,20.16,,,3.87,0.79,3.09,5.18
ARA,2019-05-29,Commercial & Professional Services,120780000.0,101220000.0,20.16,,,3.87,0.79,3.24,5.45
ARA,2019-05-30,Commercial & Professional Services,120780000.0,101220000.0,20.16,,,3.87,0.79,3.24,5.45
ARA,2019-06-01,Commercial & Professional Services,123680000.0,96250000.0,20.65,,,3.97,0.81,3.09,5.18
ARA,2019-06-03,Commercial & Professional Services,125610000.0,99230000.0,20.97,,,4.03,0.82,3.18,5.34
ARA,2019-06-04,Commercial & Professional Services,125610000.0,99230000.0,20.97,,,4.03,0.82,3.18,5.34
ARA,2019-06-05,Commercial & Professional Services,123680000.0,101220000.0,20.65,,,3.97,0.81,3.24,5.45
ARA,2019-06-06,Commercial & Professional Services,124650000.0,101220000.0,20.81,,,4.0,0.81,3.24,5.45
