asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
ASX,2019-05-06,Diversified Financials,14450000000.0,13460000000.0,31.37,,,13.73,3.73,12.79,16.59
ASX,2019-05-07,Diversified Financials,14540000000.0,13460000000.0,31.56,,,13.81,3.75,12.79,16.59
ASX,2019-05-08,Diversified Financials,14460000000.0,13400000000.0,31.39,,,13.74,3.73,12.73,16.52
ASX,2019-05-09,Diversified Financials,14570000000.0,13400000000.0,31.62,,,13.84,3.76,12.73,16.52
ASX,2019-05-10,Diversified Financials,14590000000.0,13430000000.0,31.66,,,13.86,3.76,12.76,16.56
ASX,2019-05-13,Diversified Financials,14610000000.0,13450000000.0,31.72,,,13.88,3.77,12.77,16.58
ASX,2019-05-14,Diversified Financials,14400000000.0,13470000000.0,31.26,,,13.68,3.71,12.8,16.61
ASX,2019-05-15,Diversified Financials,14560000000.0,13470000000.0,31.61,,,13.83,3.75,12.8,16.61
ASX,2019-05-16,Diversified Financials,14570000000.0,13470000000.0,31.63,,,13.85,3.76,12.8,16.61
ASX,2019-05-17,Diversified Financials,14730000000.0,13430000000.0,31.98,,,14.0,3.8,12.76,16.56
ASX,2019-05-20,Diversified Financials,14850000000.0,13590000000.0,32.24,,,14.11,3.83,12.91,16.76
ASX,2019-05-21,Diversified Financials,14930000000.0,13710000000.0,32.39,,,14.18,3.85,13.02,16.91
ASX,2019-05-22,Diversified Financials,14860000000.0,13710000000.0,32.26,,,14.12,3.83,13.02,16.91
ASX,2019-05-23,Diversified Financials,15000000000.0,13710000000.0,32.55,,,14.24,3.87,13.02,16.91
ASX,2019-05-27,Diversified Financials,14790000000.0,13860000000.0,32.11,,,14.05,3.81,13.16,17.08
ASX,2019-05-28,Diversified Financials,14920000000.0,13860000000.0,32.39,,,14.17,3.85,13.16,17.08
ASX,2019-05-29,Diversified Financials,14720000000.0,13860000000.0,31.95,,,13.98,3.79,13.16,17.08
ASX,2019-05-30,Diversified Financials,14570000000.0,13860000000.0,31.63,,,13.84,3.76,13.16,17.08
ASX,2019-06-01,Diversified Financials,14660000000.0,13860000000.0,31.83,,,13.93,3.78,13.16,17.08
ASX,2019-06-03,Diversified Financials,14520000000.0,13520000000.0,31.52,,,13.79,3.74,12.85,16.67
ASX,2019-06-04,Diversified Financials,14560000000.0,13520000000.0,31.6,,,13.83,3.75,12.85,16.67
ASX,2019-06-05,Diversified Financials,14770000000.0,13420000000.0,32.06,,,14.03,3.81,12.75,16.54
ASX,2019-06-06,Diversified Financials,15130000000.0,13420000000.0,32.84,,,14.37,3.9,12.75,16.54
