asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
AU1,2019-05-15,Real Estate,9450000.0,4020000.0,,,,0.46,,0.2,-1.42
AU1,2019-05-27,Real Estate,9860000.0,3650000.0,,,,0.48,,0.18,-1.29
AU1,2019-05-28,Real Estate,10380000.0,3650000.0,,,,0.51,,0.18,-1.29
AU1,2019-05-29,Real Estate,10380000.0,3650000.0,,,,0.51,,0.18,-1.29
AU1,2019-05-30,Real Estate,10380000.0,3650000.0,,,,0.51,,0.18,-1.29
AU1,2019-06-01,Real Estate,10070000.0,3650000.0,,,,0.49,,0.18,-1.29
AU1,2019-06-03,Real Estate,10070000.0,3730000.0,,,,0.49,,0.18,-1.32
AU1,2019-06-04,Real Estate,9550000.0,3730000.0,,,,0.47,,0.18,-1.32
AU1,2019-06-05,Real Estate,9550000.0,3540000.0,,,,0.47,,0.17,-1.25
AU1,2019-06-06,Real Estate,8930000.0,3540000.0,,,,0.44,,0.17,-1.25
