asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
AUL,2019-05-06,Materials,16950000.0,14530000.0,,,,43.42,1.25,37.22,-3.4
AUL,2019-05-07,Materials,13560000.0,14530000.0,,,,34.73,1.0,37.22,-3.4
AUL,2019-05-08,Materials,13560000.0,11140000.0,,,,34.73,1.0,28.54,-2.61
AUL,2019-05-09,Materials,13560000.0,2060000.0,,,,-228.1,1.0,-34.69,
AUL,2019-05-10,Materials,13560000.0,2060000.0,,,,-228.1,1.0,-34.69,
AUL,2019-05-13,Materials,13560000.0,3230000.0,,,,-228.1,1.0,-54.39,
AUL,2019-05-14,Materials,13560000.0,3230000.0,,,,-228.1,1.0,-54.39,
AUL,2019-05-15,Materials,13560000.0,3230000.0,,,,-228.1,1.0,-54.39,
AUL,2019-05-16,Materials,13560000.0,3230000.0,,,,-228.1,1.0,-54.39,
AUL,2019-05-17,Materials,13560000.0,2060000.0,,,,-228.1,1.0,-34.69,
AUL,2019-05-20,Materials,13560000.0,3230000.0,,,,-228.1,1.0,-54.39,
AUL,2019-05-21,Materials,13560000.0,11140000.0,,,,34.73,1.0,28.54,-2.61
AUL,2019-05-22,Materials,13560000.0,3230000.0,,,,-228.1,1.0,-54.39,
AUL,2019-05-23,Materials,10170000.0,3230000.0,,,,-171.08,0.75,-54.39,
AUL,2019-05-27,Materials,10170000.0,2060000.0,,,,-171.08,0.75,-34.69,
AUL,2019-05-28,Materials,13560000.0,2060000.0,,,,-228.1,1.0,-34.69,
AUL,2019-05-29,Materials,13560000.0,2060000.0,,,,-228.1,1.0,-34.69,
AUL,2019-05-30,Materials,13560000.0,2060000.0,,,,-228.1,1.0,-34.69,
AUL,2019-06-01,Materials,13560000.0,2060000.0,,,,-228.1,1.0,-34.69,
AUL,2019-06-03,Materials,10170000.0,11140000.0,,,,26.05,0.75,28.54,-2.61
AUL,2019-06-04,Materials,10170000.0,2060000.0,,,,-171.08,0.75,-34.69,
AUL,2019-06-05,Materials,10170000.0,9450000.0,,,,26.05,0.75,24.2,-2.21
AUL,2019-06-06,Materials,13560000.0,891600.0,,,,-228.1,1.0,-15.0,
