asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
AYK,2019-05-06,Not Applic,,,,,,,,,
AYK,2019-05-07,Not Applic,,,,,,,,,
AYK,2019-05-08,Not Applic,,,,,,,,,
AYK,2019-05-09,Not Applic,,,,,,,,,
AYK,2019-05-10,Not Applic,,,,,,,,,
AYK,2019-05-15,Not Applic,,,,,,,,,
AYK,2019-05-27,Not Applic,,,,,,,,,
AYK,2019-05-28,Not Applic,,,,,,,,,
AYK,2019-05-29,Not Applic,,,,,,,,,
AYK,2019-05-30,Not Applic,,,,,,,,,
AYK,2019-06-01,Not Applic,,,,,,,,,
