asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
BDA,2019-05-06,Retailing,19780000.0,12910000.0,,,,13.01,3.1,8.49,-2.54
BDA,2019-05-07,Retailing,19780000.0,12910000.0,,,,13.01,3.1,8.49,-2.54
BDA,2019-05-08,Retailing,19430000.0,12910000.0,,,,12.78,3.04,8.49,-2.54
BDA,2019-05-09,Retailing,18390000.0,12910000.0,,,,12.09,2.88,8.49,-2.54
BDA,2019-05-10,Retailing,18390000.0,11530000.0,,,,12.09,2.88,7.58,-2.26
BDA,2019-05-13,Retailing,18390000.0,11530000.0,,,,12.09,2.88,7.58,-2.26
BDA,2019-05-14,Retailing,18390000.0,11530000.0,,,,12.09,2.88,7.58,-2.26
BDA,2019-05-15,Retailing,17690000.0,11530000.0,,,,11.64,2.77,7.58,-2.26
BDA,2019-05-16,Retailing,20820000.0,11530000.0,,,,13.69,3.26,7.58,-2.26
BDA,2019-05-17,Retailing,20120000.0,13960000.0,,,,13.23,3.15,9.18,-2.74
BDA,2019-05-20,Retailing,20470000.0,13260000.0,,,,13.46,3.21,8.72,-2.61
BDA,2019-05-21,Retailing,19080000.0,13610000.0,,,,12.55,2.99,8.95,-2.67
BDA,2019-05-22,Retailing,19430000.0,13610000.0,,,,12.78,3.04,8.95,-2.67
BDA,2019-05-23,Retailing,18740000.0,13610000.0,,,,12.32,2.93,8.95,-2.67
BDA,2019-05-27,Retailing,17690000.0,11870000.0,,,,11.64,2.77,7.81,-2.33
BDA,2019-05-28,Retailing,18740000.0,11870000.0,,,,12.32,2.93,7.81,-2.33
BDA,2019-05-29,Retailing,19080000.0,11870000.0,,,,12.55,2.99,7.81,-2.33
BDA,2019-05-30,Retailing,18740000.0,11870000.0,,,,12.32,2.93,7.81,-2.33
BDA,2019-06-01,Retailing,18040000.0,11870000.0,,,,11.86,2.83,7.81,-2.33
BDA,2019-06-03,Retailing,17000000.0,11180000.0,,,,11.18,2.66,7.35,-2.2
BDA,2019-06-04,Retailing,18390000.0,11180000.0,,,,12.09,2.88,7.35,-2.2
BDA,2019-06-05,Retailing,15960000.0,11530000.0,,,,10.5,2.5,7.58,-2.26
BDA,2019-06-06,Retailing,17350000.0,11530000.0,,,,11.41,2.72,7.58,-2.26
