asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
BEN,2019-05-06,Banks,5080000000.0,2350000000.0,13.74,,,3.32,0.9,1.54,
BEN,2019-05-07,Banks,5130000000.0,2350000000.0,13.88,,,3.36,0.91,1.54,
BEN,2019-05-08,Banks,5150000000.0,2350000000.0,13.94,,,3.37,0.92,1.54,
BEN,2019-05-09,Banks,5170000000.0,2350000000.0,13.99,,,3.38,0.92,1.54,
BEN,2019-05-10,Banks,5200000000.0,2400000000.0,14.06,,,3.4,0.93,1.57,
BEN,2019-05-13,Banks,5200000000.0,2430000000.0,14.06,,,3.4,0.93,1.59,
BEN,2019-05-14,Banks,5110000000.0,2430000000.0,13.83,,,3.34,0.91,1.59,
BEN,2019-05-15,Banks,5150000000.0,2430000000.0,13.92,,,3.37,0.92,1.59,
BEN,2019-05-16,Banks,5200000000.0,2430000000.0,14.06,,,3.4,0.93,1.59,
BEN,2019-05-17,Banks,5210000000.0,2430000000.0,14.1,,,3.41,0.93,1.59,
BEN,2019-05-20,Banks,5350000000.0,2440000000.0,14.48,,,3.5,0.95,1.6,
BEN,2019-05-21,Banks,5540000000.0,2580000000.0,14.97,,,3.62,0.99,1.69,
BEN,2019-05-22,Banks,5530000000.0,2580000000.0,14.96,,,3.62,0.98,1.69,
BEN,2019-05-23,Banks,5490000000.0,2580000000.0,14.85,,,3.59,0.98,1.69,
BEN,2019-05-27,Banks,5460000000.0,2720000000.0,14.76,,,3.57,0.97,1.78,
BEN,2019-05-28,Banks,5440000000.0,2720000000.0,14.72,,,3.56,0.97,1.78,
BEN,2019-05-29,Banks,5430000000.0,2720000000.0,14.68,,,3.55,0.97,1.78,
BEN,2019-05-30,Banks,5480000000.0,2720000000.0,14.81,,,3.58,0.98,1.78,
BEN,2019-06-01,Banks,5520000000.0,2720000000.0,14.93,,,3.61,0.98,1.78,
BEN,2019-06-03,Banks,5450000000.0,2750000000.0,14.73,,,3.56,0.97,1.8,
BEN,2019-06-04,Banks,5480000000.0,2750000000.0,14.83,,,3.58,0.98,1.8,
BEN,2019-06-05,Banks,5520000000.0,2710000000.0,14.92,,,3.61,0.98,1.77,
BEN,2019-06-06,Banks,5610000000.0,2710000000.0,15.19,,,3.67,1.0,1.77,
