asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
BGL,2019-05-06,Materials,253590000.0,225590000.0,,,,,7.03,,-45.31
BGL,2019-05-07,Materials,265790000.0,225590000.0,,,,,7.36,,-45.31
BGL,2019-05-08,Materials,273100000.0,230070000.0,,,,,7.57,,-46.2
BGL,2019-05-09,Materials,290170000.0,230070000.0,,,,,8.04,,-46.2
BGL,2019-05-10,Materials,297490000.0,252430000.0,,,,,8.24,,-50.69
BGL,2019-05-13,Materials,307240000.0,259140000.0,,,,,8.51,,-52.04
BGL,2019-05-14,Materials,312120000.0,268090000.0,,,,,8.65,,-53.84
BGL,2019-05-15,Materials,297490000.0,268090000.0,,,,,8.24,,-53.84
BGL,2019-05-16,Materials,304800000.0,268090000.0,,,,,8.45,,-53.84
BGL,2019-05-17,Materials,304800000.0,265850000.0,,,,,8.45,,-53.39
BGL,2019-05-20,Materials,304800000.0,265850000.0,,,,,8.45,,-53.39
BGL,2019-05-21,Materials,312120000.0,265850000.0,,,,,8.65,,-53.39
BGL,2019-05-22,Materials,312120000.0,265850000.0,,,,,8.65,,-53.39
BGL,2019-05-23,Materials,324310000.0,265850000.0,,,,,8.99,,-53.39
BGL,2019-05-27,Materials,321870000.0,283750000.0,,,,,8.92,,-56.98
BGL,2019-05-28,Materials,321870000.0,283750000.0,,,,,8.92,,-56.98
BGL,2019-05-29,Materials,309680000.0,283750000.0,,,,,8.58,,-56.98
BGL,2019-05-30,Materials,302360000.0,283750000.0,,,,,8.38,,-56.98
BGL,2019-06-01,Materials,302360000.0,283750000.0,,,,,8.38,,-56.98
BGL,2019-06-03,Materials,314550000.0,263620000.0,,,,,8.72,,-52.94
BGL,2019-06-04,Materials,309680000.0,263620000.0,,,,,8.58,,-52.94
BGL,2019-06-05,Materials,297490000.0,270330000.0,,,,,8.24,,-54.29
BGL,2019-06-06,Materials,282860000.0,270330000.0,,,,,7.84,,-54.29
