asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
BID,2019-05-06,Software & Services,101860000.0,78610000.0,,,,22.14,19.27,17.09,-20.47
BID,2019-05-07,Software & Services,100200000.0,78610000.0,,,,21.78,18.96,17.09,-20.47
BID,2019-05-08,Software & Services,102410000.0,94950000.0,,,,22.26,19.38,20.64,-24.73
BID,2019-05-09,Software & Services,102960000.0,78610000.0,,,,22.38,19.48,17.09,-20.47
BID,2019-05-10,Software & Services,99650000.0,97680000.0,,,,21.66,18.85,21.23,-25.43
BID,2019-05-13,Software & Services,95800000.0,94410000.0,,,,20.82,18.12,20.52,-24.58
BID,2019-05-14,Software & Services,91390000.0,90600000.0,,,,19.86,17.29,19.69,-23.59
BID,2019-05-15,Software & Services,95800000.0,90600000.0,,,,20.82,18.12,19.69,-23.59
BID,2019-05-16,Software & Services,95250000.0,90600000.0,,,,20.7,18.02,19.69,-23.59
BID,2019-05-17,Software & Services,86440000.0,90050000.0,,,,18.79,16.35,19.57,-23.45
BID,2019-05-20,Software & Services,88730000.0,81340000.0,,,,19.29,16.77,17.68,-21.18
BID,2019-05-21,Software & Services,91490000.0,83520000.0,,,,19.88,17.29,18.15,-21.75
BID,2019-05-22,Software & Services,87630000.0,83520000.0,,,,19.05,16.56,18.15,-21.75
BID,2019-05-23,Software & Services,84400000.0,83520000.0,,,,18.34,15.94,18.15,-21.75
BID,2019-05-27,Software & Services,89360000.0,79160000.0,,,,19.42,16.88,17.2,-20.61
BID,2019-05-28,Software & Services,95980000.0,79160000.0,,,,20.86,18.12,17.2,-20.61
BID,2019-05-29,Software & Services,94880000.0,79160000.0,,,,20.62,17.92,17.2,-20.61
BID,2019-05-30,Software & Services,92120000.0,79160000.0,,,,20.02,17.4,17.2,-20.61
BID,2019-06-01,Software & Services,91570000.0,79160000.0,,,,19.9,17.29,17.2,-20.61
BID,2019-06-03,Software & Services,87470000.0,86240000.0,,,,19.01,16.46,18.74,-22.46
BID,2019-06-04,Software & Services,90230000.0,86240000.0,,,,19.61,16.98,18.74,-22.46
BID,2019-06-05,Software & Services,86360000.0,84600000.0,,,,18.77,16.25,18.39,-22.03
BID,2019-06-06,Software & Services,84700000.0,84600000.0,,,,18.41,15.94,18.39,-22.03
