asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
BIQ,2019-05-06,Software & Services,12500000.0,12620000.0,,,,1.7,0.89,1.72,-3.08
BIQ,2019-05-07,Software & Services,12500000.0,12620000.0,,,,1.7,0.89,1.72,-3.08
BIQ,2019-05-08,Software & Services,13750000.0,12620000.0,,,,1.87,0.98,1.72,-3.08
BIQ,2019-05-09,Software & Services,15600000.0,12620000.0,,,,2.12,1.02,1.72,-3.08
BIQ,2019-05-10,Software & Services,15870000.0,13870000.0,,,,2.16,1.04,1.88,-3.38
BIQ,2019-05-13,Software & Services,15320000.0,14120000.0,,,,2.08,1.0,1.92,-3.44
BIQ,2019-05-14,Software & Services,15870000.0,13620000.0,,,,2.16,1.04,1.85,-3.32
BIQ,2019-05-15,Software & Services,15870000.0,13620000.0,,,,2.16,1.04,1.85,-3.32
BIQ,2019-05-16,Software & Services,15870000.0,13620000.0,,,,2.16,1.04,1.85,-3.32
BIQ,2019-05-17,Software & Services,15050000.0,14120000.0,,,,2.05,0.98,1.92,-3.44
BIQ,2019-05-20,Software & Services,15050000.0,13370000.0,,,,2.05,0.98,1.82,-3.26
BIQ,2019-05-21,Software & Services,13960000.0,13370000.0,,,,1.9,0.91,1.82,-3.26
BIQ,2019-05-22,Software & Services,14500000.0,13370000.0,,,,1.97,0.95,1.82,-3.26
BIQ,2019-05-23,Software & Services,14230000.0,13370000.0,,,,1.93,0.93,1.82,-3.26
BIQ,2019-05-27,Software & Services,13680000.0,12620000.0,,,,1.86,0.89,1.72,-3.08
BIQ,2019-05-28,Software & Services,13680000.0,12620000.0,,,,1.86,0.89,1.72,-3.08
BIQ,2019-05-29,Software & Services,13680000.0,12620000.0,,,,1.86,0.89,1.72,-3.08
BIQ,2019-05-30,Software & Services,13680000.0,12620000.0,,,,1.86,0.89,1.72,-3.08
BIQ,2019-06-01,Software & Services,13680000.0,12620000.0,,,,1.86,0.89,1.72,-3.08
