asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
BVS,2019-05-06,Software & Services,1280000000.0,1260000000.0,43.9,,,5.2,10.42,5.12,27.51
BVS,2019-05-07,Software & Services,1260000000.0,1260000000.0,43.31,,,5.13,10.28,5.12,27.51
BVS,2019-05-08,Software & Services,1270000000.0,1260000000.0,43.6,,,5.17,10.35,5.12,27.51
BVS,2019-05-09,Software & Services,1260000000.0,1260000000.0,43.24,,,5.13,10.26,5.12,27.51
BVS,2019-05-10,Software & Services,1240000000.0,1250000000.0,42.65,,,5.06,10.12,5.06,27.23
BVS,2019-05-13,Software & Services,1230000000.0,1230000000.0,42.21,,,5.0,10.02,4.99,26.85
BVS,2019-05-14,Software & Services,1240000000.0,1220000000.0,42.35,,,5.02,10.05,4.94,26.57
BVS,2019-05-15,Software & Services,1230000000.0,1220000000.0,42.21,,,5.0,10.02,4.94,26.57
BVS,2019-05-16,Software & Services,1250000000.0,1220000000.0,42.79,,,5.07,10.16,4.94,26.57
BVS,2019-05-17,Software & Services,1310000000.0,1230000000.0,44.85,,,5.32,10.65,5.01,26.95
BVS,2019-05-20,Software & Services,1420000000.0,1290000000.0,42.87,,,5.76,10.17,5.26,28.26
BVS,2019-05-21,Software & Services,1400000000.0,1240000000.0,42.43,,,5.7,10.07,5.02,27.0
BVS,2019-05-22,Software & Services,1420000000.0,1240000000.0,42.87,,,5.76,10.17,5.02,27.0
BVS,2019-05-23,Software & Services,1460000000.0,1240000000.0,44.19,,,5.94,10.49,5.02,27.0
BVS,2019-05-27,Software & Services,1440000000.0,1270000000.0,43.6,,,5.86,10.35,5.18,27.84
BVS,2019-05-28,Software & Services,1470000000.0,1270000000.0,44.49,,,5.98,10.56,5.18,27.84
BVS,2019-05-29,Software & Services,1470000000.0,1270000000.0,44.34,,,5.96,10.52,5.18,27.84
BVS,2019-05-30,Software & Services,1410000000.0,1270000000.0,42.57,,,5.72,10.1,5.18,27.84
BVS,2019-06-01,Software & Services,1370000000.0,1270000000.0,41.54,,,5.58,9.86,5.18,27.84
BVS,2019-06-03,Software & Services,1270000000.0,1200000000.0,38.53,,,5.18,9.14,4.86,26.15
BVS,2019-06-04,Software & Services,1130000000.0,1200000000.0,34.19,,,4.6,8.12,4.86,26.15
BVS,2019-06-05,Software & Services,1180000000.0,982290000.0,35.81,,,4.81,8.5,3.99,21.47
BVS,2019-06-06,Software & Services,1190000000.0,982290000.0,36.1,,,4.85,8.57,3.99,21.47
