asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
BWX,2019-05-06,Household & Personal Products,261100000.0,315040000.0,15.79,,,1.74,0.94,2.11,10.99
BWX,2019-05-07,Household & Personal Products,256130000.0,315040000.0,15.49,,,1.71,0.92,2.11,10.99
BWX,2019-05-08,Household & Personal Products,251150000.0,315040000.0,15.19,,,1.68,0.91,2.11,10.99
BWX,2019-05-09,Household & Personal Products,236230000.0,315040000.0,14.29,,,1.58,0.85,2.11,10.99
BWX,2019-05-10,Household & Personal Products,238720000.0,287680000.0,14.44,,,1.6,0.86,1.92,10.04
BWX,2019-05-13,Household & Personal Products,237480000.0,290170000.0,14.36,,,1.59,0.86,1.94,10.12
BWX,2019-05-14,Household & Personal Products,242450000.0,288930000.0,14.66,,,1.62,0.87,1.93,10.08
BWX,2019-05-15,Household & Personal Products,248670000.0,288930000.0,15.04,,,1.66,0.9,1.93,10.08
BWX,2019-05-16,Household & Personal Products,211370000.0,288930000.0,12.78,,,1.41,0.76,1.93,10.08
BWX,2019-05-17,Household & Personal Products,201420000.0,262820000.0,12.18,,,1.35,0.73,1.76,9.17
BWX,2019-05-20,Household & Personal Products,203280000.0,252870000.0,12.29,,,1.36,0.73,1.69,8.82
BWX,2019-05-21,Household & Personal Products,197690000.0,254730000.0,11.95,,,1.32,0.71,1.7,8.89
BWX,2019-05-22,Household & Personal Products,198930000.0,254730000.0,12.03,,,1.33,0.72,1.7,8.89
BWX,2019-05-23,Household & Personal Products,198930000.0,254730000.0,12.03,,,1.33,0.72,1.7,8.89
BWX,2019-05-27,Household & Personal Products,200180000.0,250380000.0,12.11,,,1.34,0.72,1.67,8.74
BWX,2019-05-28,Household & Personal Products,203910000.0,250380000.0,12.33,,,1.36,0.74,1.67,8.74
BWX,2019-05-29,Household & Personal Products,210120000.0,250380000.0,12.71,,,1.4,0.76,1.67,8.74
BWX,2019-05-30,Household & Personal Products,210740000.0,250380000.0,12.74,,,1.41,0.76,1.67,8.74
BWX,2019-06-01,Household & Personal Products,205770000.0,250380000.0,12.44,,,1.38,0.74,1.67,8.74
BWX,2019-06-03,Household & Personal Products,202660000.0,257220000.0,12.26,,,1.35,0.73,1.72,8.98
BWX,2019-06-04,Household & Personal Products,202660000.0,257220000.0,12.26,,,1.35,0.73,1.72,8.98
BWX,2019-06-05,Household & Personal Products,203910000.0,257220000.0,12.33,,,1.36,0.74,1.72,8.98
BWX,2019-06-06,Household & Personal Products,203910000.0,254110000.0,12.33,,,1.36,0.74,1.7,8.87
