asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
BYH,2019-05-06,Materials,4530000.0,3500000.0,,,,29.25,0.8,22.6,-4.86
BYH,2019-05-07,Materials,4890000.0,3500000.0,,,,31.62,0.87,22.6,-4.86
BYH,2019-05-08,Materials,4890000.0,3500000.0,,,,31.62,0.87,22.6,-4.86
BYH,2019-05-09,Materials,4770000.0,3500000.0,,,,30.83,0.85,22.6,-4.86
BYH,2019-05-10,Materials,4980000.0,3860000.0,,,,32.15,0.85,24.96,-5.37
BYH,2019-05-13,Materials,5040000.0,3860000.0,,,,32.56,0.86,24.96,-5.37
BYH,2019-05-14,Materials,4850000.0,3920000.0,,,,31.33,0.83,25.35,-5.45
BYH,2019-05-15,Materials,4780000.0,3920000.0,,,,30.92,0.82,25.35,-5.45
BYH,2019-05-16,Materials,4780000.0,3920000.0,,,,30.92,0.82,25.35,-5.45
BYH,2019-05-17,Materials,4780000.0,3680000.0,,,,30.92,0.82,23.78,-5.12
BYH,2019-05-20,Materials,4780000.0,3680000.0,,,,30.92,0.82,23.78,-5.12
BYH,2019-05-21,Materials,4660000.0,3680000.0,,,,30.09,0.79,23.78,-5.12
BYH,2019-05-22,Materials,4660000.0,3680000.0,,,,30.09,0.79,23.78,-5.12
BYH,2019-05-23,Materials,5040000.0,3680000.0,,,,32.56,0.86,23.78,-5.12
BYH,2019-05-27,Materials,4780000.0,3920000.0,,,,30.92,0.82,25.35,-5.45
BYH,2019-05-28,Materials,4660000.0,3920000.0,,,,30.09,0.79,25.35,-5.45
BYH,2019-05-29,Materials,4720000.0,3920000.0,,,,30.5,0.8,25.35,-5.45
BYH,2019-05-30,Materials,4720000.0,3920000.0,,,,30.5,0.8,25.35,-5.45
BYH,2019-06-01,Materials,4850000.0,3920000.0,,,,31.33,0.83,25.35,-5.45
BYH,2019-06-03,Materials,5040000.0,3740000.0,,,,32.56,0.86,24.17,-5.2
BYH,2019-06-04,Materials,4780000.0,3740000.0,,,,30.92,0.82,24.17,-5.2
BYH,2019-06-05,Materials,4780000.0,3740000.0,,,,30.92,0.82,24.17,-5.2
BYH,2019-06-06,Materials,5040000.0,3680000.0,,,,32.56,0.86,23.78,-5.12
