asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
CAE,2019-05-06,Materials,2720000.0,6070000.0,,,,58.91,3.75,131.66,-5.49
CAE,2019-05-07,Materials,2720000.0,6070000.0,,,,58.91,3.75,131.66,-5.49
CAE,2019-05-08,Materials,2720000.0,6070000.0,,,,58.91,3.75,131.66,-5.49
CAE,2019-05-09,Materials,2720000.0,6070000.0,,,,58.91,3.75,131.66,-5.49
CAE,2019-05-10,Materials,2720000.0,6070000.0,,,,58.91,3.75,131.66,-5.49
CAE,2019-05-15,Materials,2720000.0,6070000.0,,,,58.91,3.75,131.66,-5.49
CAE,2019-06-03,Materials,1990000.0,5910000.0,,,,43.2,2.75,128.02,-5.34
CAE,2019-06-04,Materials,2720000.0,5910000.0,,,,58.91,3.75,128.02,-5.34
CAE,2019-06-05,Materials,2720000.0,5910000.0,,,,58.91,3.75,128.02,-5.34
CAE,2019-06-06,Materials,2720000.0,6070000.0,,,,58.91,3.75,131.66,-5.49
