asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
CDD,2019-05-06,Capital Goods,444660000.0,555450000.0,29.85,,,0.38,0.84,0.47,10.61
CDD,2019-05-07,Capital Goods,442400000.0,555450000.0,29.7,,,0.38,0.84,0.47,10.61
CDD,2019-05-08,Capital Goods,437890000.0,555450000.0,29.39,,,0.37,0.83,0.47,10.61
CDD,2019-05-09,Capital Goods,437890000.0,560030000.0,29.39,,,0.37,0.83,0.48,10.7
CDD,2019-05-10,Capital Goods,437780000.0,555450000.0,29.39,,,0.37,0.83,0.47,10.61
CDD,2019-05-13,Capital Goods,430890000.0,555450000.0,28.94,,,0.37,0.82,0.47,10.61
CDD,2019-05-14,Capital Goods,428640000.0,548570000.0,28.79,,,0.37,0.81,0.47,10.48
CDD,2019-05-15,Capital Goods,424120000.0,548570000.0,28.48,,,0.36,0.81,0.47,10.48
CDD,2019-05-16,Capital Goods,426380000.0,548570000.0,28.64,,,0.36,0.81,0.47,10.48
CDD,2019-05-17,Capital Goods,426380000.0,543990000.0,28.64,,,0.36,0.81,0.46,10.39
CDD,2019-05-20,Capital Goods,430630000.0,543990000.0,28.94,,,0.37,0.82,0.46,10.39
CDD,2019-05-21,Capital Goods,421610000.0,548570000.0,28.33,,,0.36,0.8,0.47,10.48
CDD,2019-05-22,Capital Goods,428370000.0,548570000.0,28.79,,,0.37,0.81,0.47,10.48
CDD,2019-05-23,Capital Goods,416910000.0,548570000.0,28.03,,,0.36,0.79,0.47,10.48
CDD,2019-05-27,Capital Goods,416910000.0,534830000.0,28.03,,,0.36,0.79,0.46,10.22
CDD,2019-05-28,Capital Goods,415350000.0,534830000.0,28.03,,,0.35,0.79,0.46,10.22
CDD,2019-05-29,Capital Goods,410860000.0,534830000.0,27.73,,,0.35,0.78,0.46,10.22
CDD,2019-05-30,Capital Goods,408610000.0,534830000.0,27.58,,,0.35,0.78,0.46,10.22
CDD,2019-06-01,Capital Goods,408610000.0,534830000.0,27.58,,,0.35,0.78,0.46,10.22
CDD,2019-06-03,Capital Goods,398390000.0,527950000.0,26.97,,,0.34,0.76,0.45,10.08
CDD,2019-06-04,Capital Goods,398390000.0,527950000.0,26.97,,,0.34,0.76,0.45,10.08
CDD,2019-06-05,Capital Goods,393910000.0,527950000.0,26.67,,,0.34,0.75,0.45,10.08
CDD,2019-06-06,Capital Goods,393070000.0,518790000.0,26.67,,,0.34,0.75,0.44,9.91
