asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
CDX,2019-05-06,Health Care Equipment & Services,25040000.0,19880000.0,,,,5.69,3.6,4.52,-6.54
CDX,2019-05-07,Health Care Equipment & Services,25040000.0,19880000.0,,,,5.69,3.6,4.52,-6.54
CDX,2019-05-08,Health Care Equipment & Services,26430000.0,17990000.0,,,,6.01,3.8,4.09,-5.91
CDX,2019-05-09,Health Care Equipment & Services,25730000.0,17990000.0,,,,5.85,3.7,4.09,-5.91
CDX,2019-05-10,Health Care Equipment & Services,27120000.0,18620000.0,,,,6.16,3.9,4.23,-6.12
CDX,2019-05-13,Health Care Equipment & Services,26430000.0,19880000.0,,,,6.01,3.8,4.52,-6.54
CDX,2019-05-14,Health Care Equipment & Services,26430000.0,19250000.0,,,,6.01,3.8,4.38,-6.33
CDX,2019-05-15,Health Care Equipment & Services,26430000.0,19250000.0,,,,6.01,3.8,4.38,-6.33
CDX,2019-05-16,Health Care Equipment & Services,27120000.0,19250000.0,,,,6.16,3.9,4.38,-6.33
CDX,2019-05-17,Health Care Equipment & Services,27820000.0,19880000.0,,,,6.32,4.0,4.52,-6.54
CDX,2019-05-20,Health Care Equipment & Services,26430000.0,20510000.0,,,,6.01,3.8,4.66,-6.74
CDX,2019-05-21,Health Care Equipment & Services,25730000.0,19250000.0,,,,5.85,3.7,4.38,-6.33
CDX,2019-05-22,Health Care Equipment & Services,26430000.0,19250000.0,,,,6.01,3.8,4.38,-6.33
CDX,2019-05-23,Health Care Equipment & Services,25730000.0,19250000.0,,,,5.85,3.7,4.38,-6.33
CDX,2019-05-27,Health Care Equipment & Services,22260000.0,18620000.0,,,,5.06,3.2,4.23,-6.12
CDX,2019-05-28,Health Care Equipment & Services,24340000.0,18620000.0,,,,5.53,3.5,4.23,-6.12
CDX,2019-05-29,Health Care Equipment & Services,24340000.0,18620000.0,,,,5.53,3.5,4.23,-6.12
CDX,2019-05-30,Health Care Equipment & Services,23650000.0,18620000.0,,,,5.37,3.4,4.23,-6.12
CDX,2019-06-01,Health Care Equipment & Services,22950000.0,18620000.0,,,,5.22,3.3,4.23,-6.12
CDX,2019-06-03,Health Care Equipment & Services,23650000.0,16090000.0,,,,5.37,3.4,3.66,-5.29
CDX,2019-06-04,Health Care Equipment & Services,23650000.0,16090000.0,,,,5.37,3.4,3.66,-5.29
CDX,2019-06-05,Health Care Equipment & Services,25040000.0,16720000.0,,,,5.69,3.6,3.8,-5.5
CDX,2019-06-06,Health Care Equipment & Services,22950000.0,16720000.0,,,,5.22,3.3,3.8,-5.5
