asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
CGC,2019-05-06,"Food, Beverage & Tobacco",1710000000.0,1990000000.0,198.15,,,1.8,3.85,2.09,34.17
CGC,2019-05-07,"Food, Beverage & Tobacco",1760000000.0,1990000000.0,202.96,,,1.84,3.95,2.09,34.17
CGC,2019-05-08,"Food, Beverage & Tobacco",1700000000.0,1910000000.0,196.67,,,1.78,3.83,1.99,32.68
CGC,2019-05-09,"Food, Beverage & Tobacco",1680000000.0,1910000000.0,194.07,,,1.76,3.78,1.99,32.68
CGC,2019-05-10,"Food, Beverage & Tobacco",1680000000.0,1890000000.0,193.7,,,1.76,3.77,1.98,32.46
CGC,2019-05-13,"Food, Beverage & Tobacco",1640000000.0,1870000000.0,189.63,,,1.72,3.69,1.95,32.03
CGC,2019-05-14,"Food, Beverage & Tobacco",1610000000.0,1870000000.0,186.3,,,1.69,3.62,1.95,32.03
CGC,2019-05-15,"Food, Beverage & Tobacco",1590000000.0,1800000000.0,183.7,,,1.66,3.57,1.89,30.93
CGC,2019-05-16,"Food, Beverage & Tobacco",1620000000.0,1780000000.0,187.41,,,1.7,3.65,1.86,30.54
CGC,2019-05-17,"Food, Beverage & Tobacco",1610000000.0,1780000000.0,185.56,,,1.68,3.61,1.86,30.54
CGC,2019-05-20,"Food, Beverage & Tobacco",1620000000.0,1800000000.0,187.04,,,1.69,3.64,1.88,30.82
CGC,2019-05-21,"Food, Beverage & Tobacco",1630000000.0,1800000000.0,188.89,,,1.71,3.67,1.88,30.82
CGC,2019-05-22,"Food, Beverage & Tobacco",1640000000.0,1800000000.0,190.0,,,1.72,3.7,1.88,30.82
CGC,2019-05-23,"Food, Beverage & Tobacco",1630000000.0,1800000000.0,187.78,,,1.7,3.65,1.88,30.82
CGC,2019-05-27,"Food, Beverage & Tobacco",1650000000.0,1820000000.0,190.37,,,1.72,3.7,1.9,31.15
CGC,2019-05-28,"Food, Beverage & Tobacco",1720000000.0,1820000000.0,199.26,,,1.81,3.88,1.9,31.15
CGC,2019-05-29,"Food, Beverage & Tobacco",1660000000.0,1820000000.0,191.85,,,1.74,3.73,1.9,31.15
CGC,2019-05-30,"Food, Beverage & Tobacco",1200000000.0,1820000000.0,138.89,,,1.26,2.7,1.9,31.15
CGC,2019-06-01,"Food, Beverage & Tobacco",1270000000.0,1820000000.0,146.3,,,1.33,2.85,1.9,31.15
CGC,2019-06-03,"Food, Beverage & Tobacco",1200000000.0,1460000000.0,138.15,,,1.25,2.69,1.53,25.0
CGC,2019-06-04,"Food, Beverage & Tobacco",1160000000.0,1460000000.0,134.07,,,1.21,2.61,1.53,25.0
CGC,2019-06-05,"Food, Beverage & Tobacco",1180000000.0,1350000000.0,136.67,,,1.24,2.66,1.41,23.19
CGC,2019-06-06,"Food, Beverage & Tobacco",1160000000.0,1350000000.0,134.44,,,1.22,2.62,1.41,23.19
