asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
CIO,2019-05-06,Technology Hardware & Equipment,5440000.0,6130000.0,,,,3.09,3.0,3.48,-1.74
CIO,2019-05-07,Technology Hardware & Equipment,5440000.0,6130000.0,,,,3.09,3.0,3.48,-1.74
CIO,2019-05-08,Technology Hardware & Equipment,5440000.0,6130000.0,,,,3.09,3.0,3.48,-1.74
CIO,2019-05-09,Technology Hardware & Equipment,5440000.0,6130000.0,,,,3.09,3.0,3.48,-1.74
CIO,2019-05-10,Technology Hardware & Equipment,7250000.0,6130000.0,,,,4.12,4.0,3.48,-1.74
CIO,2019-05-13,Technology Hardware & Equipment,5440000.0,7940000.0,,,,3.09,3.0,4.51,-2.25
CIO,2019-05-14,Technology Hardware & Equipment,5440000.0,6130000.0,,,,3.09,3.0,3.48,-1.74
CIO,2019-05-15,Technology Hardware & Equipment,5440000.0,6130000.0,,,,3.09,3.0,3.48,-1.74
CIO,2019-05-16,Technology Hardware & Equipment,5440000.0,6130000.0,,,,3.09,3.0,3.48,-1.74
CIO,2019-05-17,Technology Hardware & Equipment,3630000.0,6130000.0,,,,2.06,2.0,3.48,-1.74
CIO,2019-05-20,Technology Hardware & Equipment,3630000.0,4320000.0,,,,2.06,2.0,2.45,-1.22
CIO,2019-05-21,Technology Hardware & Equipment,3630000.0,5220000.0,,,,2.06,2.0,2.96,-1.48
CIO,2019-05-22,Technology Hardware & Equipment,3630000.0,5220000.0,,,,2.06,2.0,2.96,-1.48
CIO,2019-05-23,Technology Hardware & Equipment,3630000.0,5220000.0,,,,2.06,2.0,2.96,-1.48
CIO,2019-05-27,Technology Hardware & Equipment,3630000.0,5220000.0,,,,2.06,2.0,2.96,-1.48
CIO,2019-05-28,Technology Hardware & Equipment,3630000.0,5220000.0,,,,2.06,2.0,2.96,-1.48
CIO,2019-05-29,Technology Hardware & Equipment,3630000.0,5220000.0,,,,2.06,2.0,2.96,-1.48
CIO,2019-05-30,Technology Hardware & Equipment,3630000.0,5220000.0,,,,2.06,2.0,2.96,-1.48
CIO,2019-06-01,Technology Hardware & Equipment,3630000.0,5220000.0,,,,2.06,2.0,2.96,-1.48
