asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
CKA,2019-05-06,Materials,47260000.0,58800000.0,,,,44.2,9.83,54.99,-9.73
CKA,2019-05-07,Materials,46460000.0,58800000.0,,,,43.45,9.67,54.99,-9.73
CKA,2019-05-08,Materials,46460000.0,58800000.0,,,,43.45,9.67,54.99,-9.73
CKA,2019-05-09,Materials,45020000.0,58800000.0,,,,42.1,9.33,54.99,-9.73
CKA,2019-05-10,Materials,46630000.0,58070000.0,,,,43.6,9.67,54.31,-9.61
CKA,2019-05-13,Materials,45020000.0,58070000.0,,,,42.1,9.33,54.31,-9.61
CKA,2019-05-14,Materials,44210000.0,58070000.0,,,,41.35,9.17,54.31,-9.61
CKA,2019-05-15,Materials,44210000.0,55880000.0,,,,41.35,9.17,52.25,-9.24
CKA,2019-05-16,Materials,45020000.0,55880000.0,,,,42.1,9.33,52.25,-9.24
CKA,2019-05-17,Materials,47430000.0,55880000.0,,,,44.35,9.83,52.25,-9.24
CKA,2019-05-20,Materials,47430000.0,58800000.0,,,,44.35,9.83,54.99,-9.73
CKA,2019-05-21,Materials,46630000.0,58800000.0,,,,43.6,9.67,54.99,-9.73
CKA,2019-05-22,Materials,45820000.0,58800000.0,,,,42.85,9.5,54.99,-9.73
CKA,2019-05-23,Materials,45020000.0,58800000.0,,,,42.1,9.33,54.99,-9.73
CKA,2019-05-27,Materials,47430000.0,56610000.0,,,,44.35,9.83,52.94,-9.36
CKA,2019-05-28,Materials,49040000.0,56610000.0,,,,45.86,10.17,52.94,-9.36
CKA,2019-05-29,Materials,47430000.0,56610000.0,,,,44.35,9.83,52.94,-9.36
CKA,2019-05-30,Materials,48230000.0,56610000.0,,,,45.11,10.0,52.94,-9.36
CKA,2019-06-01,Materials,43410000.0,56610000.0,,,,40.6,9.0,52.94,-9.36
CKA,2019-06-03,Materials,44930000.0,55150000.0,,,,42.01,9.17,51.57,-9.12
CKA,2019-06-04,Materials,44110000.0,55150000.0,,,,41.25,9.0,51.57,-9.12
CKA,2019-06-05,Materials,43290000.0,55150000.0,,,,40.49,8.83,51.57,-9.12
CKA,2019-06-06,Materials,44930000.0,55150000.0,,,,42.01,9.17,51.57,-9.12
