asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
CLF,2019-05-06,Not Applic,76630000.0,98170000.0,64.5,,,21.27,1.09,27.25,
CLF,2019-05-07,Not Applic,76630000.0,98170000.0,64.5,,,21.27,1.09,27.25,
CLF,2019-05-08,Not Applic,76630000.0,98170000.0,64.5,,,21.27,1.09,27.25,
CLF,2019-05-09,Not Applic,76630000.0,98170000.0,64.5,,,21.27,1.09,27.25,
CLF,2019-05-10,Not Applic,76630000.0,98170000.0,64.5,,,21.27,1.09,27.25,
CLF,2019-05-15,Not Applic,76920000.0,98170000.0,64.75,,,21.36,1.09,27.25,
CLF,2019-05-20,Not Applic,78410000.0,99950000.0,66.0,,,21.77,1.12,27.75,
CLF,2019-05-21,Not Applic,80190000.0,99950000.0,67.5,,,22.26,1.14,27.75,
CLF,2019-05-22,Not Applic,80790000.0,99950000.0,68.0,,,22.43,1.15,27.75,
CLF,2019-05-23,Not Applic,81970000.0,99950000.0,69.0,,,22.76,1.17,27.75,
CLF,2019-05-27,Not Applic,76630000.0,103510000.0,64.5,,,21.27,1.09,28.74,
CLF,2019-05-28,Not Applic,76630000.0,103510000.0,64.5,,,21.27,1.09,28.74,
CLF,2019-05-29,Not Applic,74850000.0,103510000.0,63.0,,,20.78,1.07,28.74,
CLF,2019-05-30,Not Applic,75440000.0,103510000.0,63.5,,,20.94,1.07,28.74,
CLF,2019-06-01,Not Applic,75440000.0,103510000.0,63.5,,,20.94,1.07,28.74,
CLF,2019-06-03,Not Applic,76630000.0,96980000.0,64.5,,,21.27,1.09,26.92,
CLF,2019-06-04,Not Applic,77220000.0,96980000.0,65.0,,,21.44,1.1,26.92,
CLF,2019-06-05,Not Applic,79000000.0,96980000.0,66.5,,,21.93,1.12,26.92,
CLF,2019-06-06,Not Applic,79300000.0,98760000.0,66.75,,,22.02,1.13,27.42,
