asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
CLQ,2019-05-06,Commercial & Professional Services,223940000.0,110210000.0,,,,27.53,0.91,13.55,-6.07
CLQ,2019-05-07,Commercial & Professional Services,220210000.0,110210000.0,,,,27.08,0.9,13.55,-6.07
CLQ,2019-05-08,Commercial & Professional Services,216470000.0,106470000.0,,,,26.62,0.88,13.09,-5.87
CLQ,2019-05-09,Commercial & Professional Services,216470000.0,106470000.0,,,,26.62,0.88,13.09,-5.87
CLQ,2019-05-10,Commercial & Professional Services,216470000.0,106470000.0,,,,26.62,0.88,13.09,-5.87
CLQ,2019-05-13,Commercial & Professional Services,212740000.0,99010000.0,,,,26.16,0.87,12.17,-5.45
CLQ,2019-05-14,Commercial & Professional Services,212740000.0,99010000.0,,,,26.16,0.87,12.17,-5.45
CLQ,2019-05-15,Commercial & Professional Services,205280000.0,99010000.0,,,,25.24,0.84,12.17,-5.45
CLQ,2019-05-16,Commercial & Professional Services,197810000.0,87820000.0,,,,24.32,0.81,10.8,-4.84
CLQ,2019-05-17,Commercial & Professional Services,212740000.0,87820000.0,,,,26.16,0.87,10.8,-4.84
CLQ,2019-05-20,Commercial & Professional Services,205280000.0,95280000.0,,,,25.24,0.84,11.72,-5.25
CLQ,2019-05-21,Commercial & Professional Services,209010000.0,95280000.0,,,,25.7,0.85,11.72,-5.25
CLQ,2019-05-22,Commercial & Professional Services,235130000.0,95280000.0,,,,28.91,0.96,11.72,-5.25
CLQ,2019-05-23,Commercial & Professional Services,216470000.0,95280000.0,,,,26.62,0.88,11.72,-5.25
CLQ,2019-05-27,Commercial & Professional Services,201540000.0,99010000.0,,,,24.78,0.82,12.17,-5.45
CLQ,2019-05-28,Commercial & Professional Services,201540000.0,99010000.0,,,,24.78,0.82,12.17,-5.45
CLQ,2019-05-29,Commercial & Professional Services,216470000.0,99010000.0,,,,26.62,0.88,12.17,-5.45
CLQ,2019-05-30,Commercial & Professional Services,205280000.0,99010000.0,,,,25.24,0.84,12.17,-5.45
CLQ,2019-06-01,Commercial & Professional Services,205280000.0,99010000.0,,,,25.24,0.84,12.17,-5.45
CLQ,2019-06-03,Commercial & Professional Services,205280000.0,87820000.0,,,,25.24,0.84,10.8,-4.84
CLQ,2019-06-04,Commercial & Professional Services,261260000.0,87820000.0,,,,32.12,1.06,10.8,-4.84
CLQ,2019-06-05,Commercial & Professional Services,231400000.0,143790000.0,,,,28.45,0.94,17.68,-7.92
CLQ,2019-06-06,Commercial & Professional Services,223940000.0,143790000.0,,,,27.53,0.91,17.68,-7.92
