asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
CLZ,2019-05-06,Materials,3010000.0,2770000.0,,,,-27.13,,-25.03,-0.87
CLZ,2019-05-07,Materials,3010000.0,2770000.0,,,,-27.13,,-25.03,-0.87
CLZ,2019-05-08,Materials,3010000.0,2770000.0,,,,-27.13,,-25.03,-0.87
CLZ,2019-05-09,Materials,3010000.0,2770000.0,,,,-27.13,,-25.03,-0.87
CLZ,2019-05-10,Materials,3010000.0,2770000.0,,,,-27.13,,-25.03,-0.87
CLZ,2019-05-13,Materials,3010000.0,2770000.0,,,,-27.13,,-25.03,-0.87
CLZ,2019-05-14,Materials,3010000.0,2770000.0,,,,-27.13,,-25.03,-0.87
CLZ,2019-05-15,Materials,3010000.0,2770000.0,,,,-27.13,,-25.03,-0.87
CLZ,2019-05-16,Materials,3010000.0,2770000.0,,,,-27.13,,-25.03,-0.87
CLZ,2019-05-17,Materials,3010000.0,2770000.0,,,,-27.13,,-25.03,-0.87
CLZ,2019-06-03,Materials,3010000.0,2770000.0,,,,-27.13,,-25.03,-0.87
CLZ,2019-06-04,Materials,3010000.0,2770000.0,,,,-27.13,,-25.03,-0.87
CLZ,2019-06-05,Materials,3010000.0,2770000.0,,,,-27.13,,-25.03,-0.87
CLZ,2019-06-06,Materials,3010000.0,2770000.0,,,,-27.13,,-25.03,-0.87
