asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
CMD,2019-05-06,Materials,5220000.0,4400000.0,,,,619.07,0.44,520.79,
CMD,2019-05-07,Materials,5220000.0,4400000.0,,,,619.07,0.44,520.79,
CMD,2019-05-08,Materials,5220000.0,4400000.0,,,,619.07,0.44,520.79,
CMD,2019-05-09,Materials,5220000.0,4400000.0,,,,619.07,0.44,520.79,
CMD,2019-05-10,Materials,5220000.0,4400000.0,,,,619.07,0.44,520.79,
CMD,2019-05-15,Materials,5490000.0,4660000.0,,,,650.02,0.47,551.74,
CMD,2019-05-27,Materials,6790000.0,5960000.0,,,,804.79,0.58,706.51,
CMD,2019-05-28,Materials,6270000.0,5960000.0,,,,742.88,0.53,706.51,
CMD,2019-05-29,Materials,6270000.0,5960000.0,,,,742.88,0.53,706.51,
CMD,2019-05-30,Materials,6270000.0,5960000.0,,,,742.88,0.53,706.51,
CMD,2019-06-01,Materials,4960000.0,5960000.0,,,,588.11,0.42,706.51,
CMD,2019-06-03,Materials,4960000.0,4130000.0,,,,588.11,0.42,489.83,
CMD,2019-06-04,Materials,4960000.0,4130000.0,,,,588.11,0.42,489.83,
CMD,2019-06-05,Materials,4960000.0,4130000.0,,,,588.11,0.42,489.83,
CMD,2019-06-06,Materials,4960000.0,4130000.0,,,,588.11,0.42,489.83,
