asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
CT1,2019-05-15,Technology Hardware & Equipment,4020000.0,2820000.0,,,,7.54,,5.3,-0.94
CT1,2019-05-20,Technology Hardware & Equipment,5800000.0,4100000.0,,,,10.9,,7.7,-1.36
CT1,2019-05-21,Technology Hardware & Equipment,8030000.0,5370000.0,,,,15.09,,10.1,-1.78
CT1,2019-05-22,Technology Hardware & Equipment,7140000.0,5370000.0,,,,13.41,,10.1,-1.78
CT1,2019-05-23,Technology Hardware & Equipment,7580000.0,5370000.0,,,,14.25,,10.1,-1.78
CT1,2019-05-27,Technology Hardware & Equipment,7140000.0,7080000.0,,,,13.41,,13.3,-2.35
CT1,2019-05-28,Technology Hardware & Equipment,7580000.0,7080000.0,,,,14.25,,13.3,-2.35
CT1,2019-05-29,Technology Hardware & Equipment,7140000.0,7080000.0,,,,13.41,,13.3,-2.35
CT1,2019-05-30,Technology Hardware & Equipment,7580000.0,7080000.0,,,,14.25,,13.3,-2.35
CT1,2019-06-01,Technology Hardware & Equipment,8030000.0,7080000.0,,,,15.09,,13.3,-2.35
CT1,2019-06-03,Technology Hardware & Equipment,7580000.0,7500000.0,,,,14.25,,14.1,-2.49
CT1,2019-06-04,Technology Hardware & Equipment,7140000.0,7500000.0,,,,13.41,,14.1,-2.49
CT1,2019-06-05,Technology Hardware & Equipment,6690000.0,7500000.0,,,,12.57,,14.1,-2.49
CT1,2019-06-06,Technology Hardware & Equipment,6690000.0,6650000.0,,,,12.57,,12.5,-2.21
