asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
DME,2019-05-13,Materials,46620000.0,43720000.0,,,,-45304.58,1.49,-42490.6,-26.13
DME,2019-05-14,Materials,52100000.0,46450000.0,,,,-50634.54,1.67,-45143.81,-27.76
DME,2019-05-15,Materials,52100000.0,46450000.0,,,,-50634.54,1.67,-45143.81,-27.76
DME,2019-05-16,Materials,52100000.0,46450000.0,,,,-50634.54,1.67,-45143.81,-27.76
DME,2019-05-17,Materials,52100000.0,51910000.0,,,,-50634.54,1.67,-50450.22,-31.03
DME,2019-05-20,Materials,52100000.0,51910000.0,,,,-50634.54,1.67,-50450.22,-31.03
DME,2019-05-21,Materials,54850000.0,51910000.0,,,,-53299.51,1.75,-50450.22,-31.03
DME,2019-05-22,Materials,54850000.0,51910000.0,,,,-53299.51,1.75,-50450.22,-31.03
DME,2019-05-23,Materials,54850000.0,51910000.0,,,,-53299.51,1.75,-50450.22,-31.03
DME,2019-05-27,Materials,54850000.0,54640000.0,,,,-53299.51,1.75,-53103.43,-32.66
DME,2019-05-28,Materials,54850000.0,54640000.0,,,,-53299.51,1.75,-53103.43,-32.66
DME,2019-05-29,Materials,54850000.0,54640000.0,,,,-53299.51,1.75,-53103.43,-32.66
DME,2019-05-30,Materials,54850000.0,54640000.0,,,,-53299.51,1.75,-53103.43,-32.66
DME,2019-06-01,Materials,54850000.0,54640000.0,,,,-53299.51,1.75,-53103.43,-32.66
