asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
DOW,2019-05-06,Commercial & Professional Services,4610000000.0,5820000000.0,22.35,,,0.37,1.72,0.46,7.58
DOW,2019-05-07,Commercial & Professional Services,4560000000.0,5820000000.0,22.12,,,0.36,1.7,0.46,7.58
DOW,2019-05-08,Commercial & Professional Services,4500000000.0,5780000000.0,21.81,,,0.36,1.67,0.46,7.52
DOW,2019-05-09,Commercial & Professional Services,4620000000.0,5780000000.0,22.41,,,0.37,1.72,0.46,7.52
DOW,2019-05-10,Commercial & Professional Services,4620000000.0,5840000000.0,22.38,,,0.37,1.72,0.47,7.59
DOW,2019-05-13,Commercial & Professional Services,4690000000.0,5830000000.0,22.72,,,0.37,1.74,0.47,7.59
DOW,2019-05-14,Commercial & Professional Services,4640000000.0,5830000000.0,22.46,,,0.37,1.72,0.47,7.59
DOW,2019-05-15,Commercial & Professional Services,4640000000.0,5830000000.0,22.49,,,0.37,1.73,0.47,7.59
DOW,2019-05-16,Commercial & Professional Services,4710000000.0,5830000000.0,22.81,,,0.37,1.75,0.47,7.59
DOW,2019-05-17,Commercial & Professional Services,4730000000.0,5920000000.0,22.92,,,0.38,1.76,0.47,7.7
DOW,2019-05-20,Commercial & Professional Services,4720000000.0,5940000000.0,22.89,,,0.38,1.76,0.47,7.73
DOW,2019-05-21,Commercial & Professional Services,4680000000.0,5940000000.0,22.66,,,0.37,1.74,0.47,7.73
DOW,2019-05-22,Commercial & Professional Services,4700000000.0,5940000000.0,22.75,,,0.37,1.75,0.47,7.73
DOW,2019-05-23,Commercial & Professional Services,4720000000.0,5940000000.0,22.87,,,0.38,1.76,0.47,7.73
DOW,2019-05-27,Commercial & Professional Services,4650000000.0,5930000000.0,22.55,,,0.37,1.73,0.47,7.72
DOW,2019-05-28,Commercial & Professional Services,4660000000.0,5930000000.0,22.58,,,0.37,1.73,0.47,7.72
DOW,2019-05-29,Commercial & Professional Services,4230000000.0,5930000000.0,20.52,,,0.34,1.58,0.47,7.72
DOW,2019-05-30,Commercial & Professional Services,4230000000.0,5930000000.0,20.52,,,0.34,1.58,0.47,7.72
DOW,2019-06-01,Commercial & Professional Services,4220000000.0,5930000000.0,20.43,,,0.34,1.57,0.47,7.72
DOW,2019-06-03,Commercial & Professional Services,4060000000.0,5430000000.0,19.66,,,0.32,1.51,0.43,7.06
DOW,2019-06-04,Commercial & Professional Services,4030000000.0,5430000000.0,19.54,,,0.32,1.5,0.43,7.06
DOW,2019-06-05,Commercial & Professional Services,4090000000.0,5430000000.0,19.83,,,0.33,1.52,0.43,7.06
DOW,2019-06-06,Commercial & Professional Services,4100000000.0,5250000000.0,19.86,,,0.33,1.52,0.42,6.83
