asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
DUI,2019-05-06,Not Applic,873400000.0,962740000.0,24.21,,,20.43,1.17,22.51,
DUI,2019-05-07,Not Applic,877620000.0,962740000.0,24.33,,,20.52,1.17,22.51,
DUI,2019-05-08,Not Applic,867070000.0,954330000.0,24.04,,,20.28,1.16,22.32,
DUI,2019-05-09,Not Applic,867070000.0,954330000.0,24.04,,,20.28,1.16,22.32,
DUI,2019-05-10,Not Applic,873400000.0,943800000.0,24.21,,,20.43,1.17,22.07,
DUI,2019-05-13,Not Applic,867070000.0,950120000.0,24.04,,,20.28,1.16,22.22,
DUI,2019-05-14,Not Applic,862850000.0,943800000.0,23.92,,,20.18,1.15,22.07,
DUI,2019-05-15,Not Applic,867070000.0,943800000.0,24.04,,,20.28,1.16,22.07,
DUI,2019-05-16,Not Applic,871290000.0,943800000.0,24.15,,,20.38,1.16,22.07,
DUI,2019-05-17,Not Applic,875510000.0,948010000.0,24.27,,,20.47,1.17,22.17,
DUI,2019-05-20,Not Applic,898720000.0,952220000.0,24.91,,,21.02,1.2,22.27,
DUI,2019-05-21,Not Applic,890280000.0,975370000.0,24.68,,,20.82,1.19,22.81,
DUI,2019-05-22,Not Applic,902930000.0,975370000.0,25.03,,,21.12,1.21,22.81,
DUI,2019-05-23,Not Applic,902930000.0,975370000.0,25.03,,,21.12,1.21,22.81,
DUI,2019-05-27,Not Applic,892390000.0,979580000.0,24.74,,,20.87,1.19,22.91,
DUI,2019-05-28,Not Applic,909260000.0,979580000.0,25.2,,,21.26,1.22,22.91,
DUI,2019-05-29,Not Applic,919810000.0,979580000.0,25.5,,,21.51,1.23,22.91,
DUI,2019-05-30,Not Applic,919810000.0,979580000.0,25.5,,,21.51,1.23,22.91,
DUI,2019-06-01,Not Applic,938800000.0,979580000.0,26.02,,,21.96,1.25,22.91,
DUI,2019-06-03,Not Applic,926140000.0,1020000000.0,25.67,,,21.66,1.24,23.75,
DUI,2019-06-04,Not Applic,902930000.0,1020000000.0,25.03,,,21.12,1.21,23.75,
DUI,2019-06-05,Not Applic,907150000.0,1020000000.0,25.15,,,21.22,1.21,23.75,
DUI,2019-06-06,Not Applic,913480000.0,979580000.0,25.32,,,21.36,1.22,22.91,
