asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
EAI,2019-05-06,Not Applic,,,,,,,,,
EAI,2019-05-07,Not Applic,,,,,,,,,
EAI,2019-05-08,Not Applic,,,,,,,,,
EAI,2019-05-09,Not Applic,,,,,,,,,
EAI,2019-05-10,Not Applic,,,,,,,,,
EAI,2019-05-13,Not Applic,,,,,,,,,
EAI,2019-05-14,Not Applic,,,,,,,,,
EAI,2019-05-15,Not Applic,,,,,,,,,
EAI,2019-05-16,Not Applic,,,,,,,,,
EAI,2019-05-17,Not Applic,,,,,,,,,
EAI,2019-05-20,Not Applic,137480000.0,,,,,,,,
EAI,2019-05-21,Not Applic,135290000.0,,,,,,,,
EAI,2019-05-22,Not Applic,136750000.0,,,,,,,,
EAI,2019-05-23,Not Applic,140070000.0,,,,,,,,
EAI,2019-05-27,Not Applic,138610000.0,,,,,,,,
EAI,2019-05-28,Not Applic,138610000.0,,,,,,,,
EAI,2019-05-29,Not Applic,137880000.0,,,,,,,,
EAI,2019-05-30,Not Applic,137880000.0,,,,,,,,
EAI,2019-06-01,Not Applic,138610000.0,,,,,,,,
EAI,2019-06-03,Not Applic,137150000.0,,,,,,,,
EAI,2019-06-04,Not Applic,136420000.0,,,,,,,,
EAI,2019-06-05,Not Applic,135690000.0,,,,,,,,
EAI,2019-06-06,Not Applic,136420000.0,,,,,,,,
