asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
ECL,2019-05-06,Capital Goods,36680000.0,24740000.0,9.81,,,0.69,0.79,0.47,3.94
ECL,2019-05-07,Capital Goods,36680000.0,24740000.0,9.81,,,0.69,0.79,0.47,3.94
ECL,2019-05-08,Capital Goods,36530000.0,24880000.0,9.77,,,0.69,0.79,0.47,3.96
ECL,2019-05-09,Capital Goods,36240000.0,24880000.0,9.69,,,0.68,0.79,0.47,3.96
ECL,2019-05-10,Capital Goods,36240000.0,24450000.0,9.69,,,0.68,0.79,0.46,3.89
ECL,2019-05-13,Capital Goods,36240000.0,24450000.0,9.69,,,0.68,0.79,0.46,3.89
ECL,2019-05-14,Capital Goods,36240000.0,24450000.0,9.69,,,0.68,0.79,0.46,3.89
ECL,2019-05-15,Capital Goods,36240000.0,24450000.0,9.69,,,0.68,0.79,0.46,3.89
ECL,2019-05-16,Capital Goods,35080000.0,24450000.0,9.38,,,0.66,0.76,0.46,3.89
ECL,2019-05-17,Capital Goods,35080000.0,23290000.0,9.38,,,0.66,0.76,0.44,3.71
ECL,2019-05-20,Capital Goods,36240000.0,23290000.0,9.69,,,0.68,0.79,0.44,3.71
ECL,2019-05-21,Capital Goods,36390000.0,24450000.0,9.73,,,0.69,0.79,0.46,3.89
ECL,2019-05-22,Capital Goods,36240000.0,24450000.0,9.69,,,0.68,0.79,0.46,3.89
ECL,2019-05-23,Capital Goods,36100000.0,24450000.0,9.65,,,0.68,0.78,0.46,3.89
ECL,2019-05-27,Capital Goods,35660000.0,24300000.0,9.53,,,0.67,0.77,0.46,3.87
ECL,2019-05-28,Capital Goods,35660000.0,24300000.0,9.53,,,0.67,0.77,0.46,3.87
ECL,2019-05-29,Capital Goods,35660000.0,24300000.0,9.53,,,0.67,0.77,0.46,3.87
ECL,2019-05-30,Capital Goods,35810000.0,24300000.0,9.57,,,0.67,0.78,0.46,3.87
ECL,2019-06-01,Capital Goods,35810000.0,24300000.0,9.57,,,0.67,0.78,0.46,3.87
ECL,2019-06-03,Capital Goods,35810000.0,24010000.0,9.57,,,0.67,0.78,0.45,3.82
ECL,2019-06-04,Capital Goods,35810000.0,24010000.0,9.57,,,0.67,0.78,0.45,3.82
ECL,2019-06-05,Capital Goods,35810000.0,24010000.0,9.57,,,0.67,0.78,0.45,3.82
ECL,2019-06-06,Capital Goods,35810000.0,24010000.0,9.57,,,0.67,0.78,0.45,3.82
