asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
EDE,2019-05-06,Energy,71410000.0,68200000.0,,,,36.56,3.58,34.91,-8.09
EDE,2019-05-07,Energy,69750000.0,68200000.0,,,,35.71,3.5,34.91,-8.09
EDE,2019-05-08,Energy,68090000.0,63630000.0,,,,34.86,3.42,32.58,-7.54
EDE,2019-05-09,Energy,69750000.0,63630000.0,,,,35.71,3.5,32.58,-7.54
EDE,2019-05-10,Energy,71410000.0,63630000.0,,,,36.56,3.58,32.58,-7.54
EDE,2019-05-13,Energy,71410000.0,65150000.0,,,,36.56,3.58,33.35,-7.72
EDE,2019-05-14,Energy,71410000.0,65150000.0,,,,36.56,3.58,33.35,-7.72
EDE,2019-05-15,Energy,78060000.0,65150000.0,,,,39.96,3.92,33.35,-7.72
EDE,2019-05-16,Energy,74740000.0,65150000.0,,,,38.26,3.75,33.35,-7.72
EDE,2019-05-17,Energy,74740000.0,68200000.0,,,,38.26,3.75,34.91,-8.09
EDE,2019-05-20,Energy,71410000.0,68200000.0,,,,36.56,3.58,34.91,-8.09
EDE,2019-05-21,Energy,73080000.0,68200000.0,,,,37.41,3.67,34.91,-8.09
EDE,2019-05-22,Energy,71410000.0,68200000.0,,,,36.56,3.58,34.91,-8.09
EDE,2019-05-23,Energy,59790000.0,68200000.0,,,,30.61,3.0,34.91,-8.09
EDE,2019-05-27,Energy,54810000.0,54500000.0,,,,28.06,2.75,27.9,-6.46
EDE,2019-05-28,Energy,54810000.0,54500000.0,,,,28.06,2.75,27.9,-6.46
EDE,2019-05-29,Energy,53150000.0,54500000.0,,,,27.21,2.67,27.9,-6.46
EDE,2019-05-30,Energy,54810000.0,54500000.0,,,,28.06,2.75,27.9,-6.46
EDE,2019-06-01,Energy,51480000.0,54500000.0,,,,26.36,2.58,27.9,-6.46
EDE,2019-06-03,Energy,53150000.0,46900000.0,,,,27.21,2.67,24.01,-5.56
EDE,2019-06-04,Energy,53150000.0,46900000.0,,,,27.21,2.67,24.01,-5.56
EDE,2019-06-05,Energy,49820000.0,46900000.0,,,,25.51,2.5,24.01,-5.56
EDE,2019-06-06,Energy,46500000.0,48420000.0,,,,23.81,2.33,24.79,-5.74
