asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
ELS,2019-05-06,Technology Hardware & Equipment,59450000.0,54390000.0,,,,35.14,13.19,32.15,-12.93
ELS,2019-05-07,Technology Hardware & Equipment,57530000.0,54390000.0,,,,34.0,12.77,32.15,-12.93
ELS,2019-05-08,Technology Hardware & Equipment,56090000.0,54390000.0,,,,33.15,12.45,32.15,-12.93
ELS,2019-05-09,Technology Hardware & Equipment,56090000.0,54390000.0,,,,33.15,12.45,32.15,-12.93
ELS,2019-05-10,Technology Hardware & Equipment,63290000.0,52470000.0,,,,37.41,14.04,31.01,-12.47
ELS,2019-05-13,Technology Hardware & Equipment,68080000.0,59670000.0,,,,40.24,15.11,35.26,-14.18
ELS,2019-05-14,Technology Hardware & Equipment,68080000.0,64460000.0,,,,40.24,15.11,38.1,-15.32
ELS,2019-05-15,Technology Hardware & Equipment,70480000.0,64460000.0,,,,41.66,15.64,38.1,-15.32
ELS,2019-05-16,Technology Hardware & Equipment,67120000.0,64460000.0,,,,39.67,14.89,38.1,-15.32
ELS,2019-05-17,Technology Hardware & Equipment,63290000.0,63500000.0,,,,37.41,14.04,37.53,-15.09
ELS,2019-05-20,Technology Hardware & Equipment,65200000.0,59670000.0,,,,38.54,14.47,35.26,-14.18
ELS,2019-05-21,Technology Hardware & Equipment,57530000.0,61580000.0,,,,34.0,12.77,36.4,-14.64
ELS,2019-05-22,Technology Hardware & Equipment,53220000.0,61580000.0,,,,31.45,11.81,36.4,-14.64
ELS,2019-05-23,Technology Hardware & Equipment,57530000.0,61580000.0,,,,34.0,12.77,36.4,-14.64
ELS,2019-05-27,Technology Hardware & Equipment,51780000.0,53910000.0,,,,30.6,11.49,31.86,-12.81
ELS,2019-05-28,Technology Hardware & Equipment,49380000.0,53910000.0,,,,29.19,10.96,31.86,-12.81
ELS,2019-05-29,Technology Hardware & Equipment,52740000.0,53910000.0,,,,31.17,11.7,31.86,-12.81
ELS,2019-05-30,Technology Hardware & Equipment,52260000.0,53910000.0,,,,30.89,11.6,31.86,-12.81
ELS,2019-06-01,Technology Hardware & Equipment,47940000.0,53910000.0,,,,28.34,10.64,31.86,-12.81
ELS,2019-06-03,Technology Hardware & Equipment,45070000.0,44320000.0,,,,26.64,10.0,26.2,-10.53
ELS,2019-06-04,Technology Hardware & Equipment,43630000.0,44320000.0,,,,25.79,9.68,26.2,-10.53
ELS,2019-06-05,Technology Hardware & Equipment,41230000.0,44320000.0,,,,24.37,9.15,26.2,-10.53
ELS,2019-06-06,Technology Hardware & Equipment,45070000.0,40010000.0,,,,26.64,10.0,23.65,-9.51
