asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
EQT,2019-05-06,Diversified Financials,533570000.0,503900000.0,24.9,,,5.83,2.05,5.5,14.23
EQT,2019-05-07,Diversified Financials,557990000.0,503900000.0,26.04,,,6.09,2.14,5.5,14.23
EQT,2019-05-08,Diversified Financials,539320000.0,503900000.0,25.17,,,5.89,2.07,5.5,14.23
EQT,2019-05-09,Diversified Financials,549990000.0,503900000.0,25.67,,,6.01,2.11,5.5,14.23
EQT,2019-05-10,Diversified Financials,544040000.0,497360000.0,25.39,,,5.94,2.09,5.43,14.05
EQT,2019-05-13,Diversified Financials,550190000.0,491430000.0,25.68,,,6.01,2.11,5.37,13.88
EQT,2019-05-14,Diversified Financials,545880000.0,497560000.0,25.48,,,5.96,2.09,5.43,14.06
EQT,2019-05-15,Diversified Financials,547930000.0,497560000.0,25.57,,,5.98,2.1,5.43,14.06
EQT,2019-05-16,Diversified Financials,553890000.0,497560000.0,25.85,,,6.05,2.12,5.43,14.06
EQT,2019-05-17,Diversified Financials,546910000.0,501240000.0,25.53,,,5.97,2.1,5.47,14.16
EQT,2019-05-20,Diversified Financials,556960000.0,494290000.0,26.0,,,6.08,2.14,5.4,13.96
EQT,2019-05-21,Diversified Financials,543830000.0,494290000.0,25.38,,,5.94,2.09,5.4,13.96
EQT,2019-05-22,Diversified Financials,561890000.0,494290000.0,26.23,,,6.14,2.15,5.4,13.96
EQT,2019-05-23,Diversified Financials,562090000.0,504310000.0,26.24,,,6.14,2.16,5.51,14.25
EQT,2019-05-27,Diversified Financials,566400000.0,509420000.0,26.44,,,6.19,2.17,5.56,14.39
EQT,2019-05-28,Diversified Financials,569280000.0,509420000.0,26.57,,,6.22,2.18,5.56,14.39
EQT,2019-05-29,Diversified Financials,565380000.0,509420000.0,26.39,,,6.17,2.17,5.56,14.39
EQT,2019-05-30,Diversified Financials,568460000.0,509420000.0,26.53,,,6.21,2.18,5.56,14.39
EQT,2019-06-01,Diversified Financials,574410000.0,509420000.0,26.81,,,6.27,2.2,5.56,14.39
EQT,2019-06-03,Diversified Financials,567020000.0,521680000.0,26.47,,,6.19,2.17,5.7,14.74
EQT,2019-06-04,Diversified Financials,568660000.0,521680000.0,26.54,,,6.21,2.18,5.7,14.74
EQT,2019-06-05,Diversified Financials,567020000.0,521680000.0,26.47,,,6.19,2.17,5.7,14.74
EQT,2019-06-06,Diversified Financials,567020000.0,515960000.0,26.47,,,6.19,2.17,5.64,14.58
