asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
ERL,2019-05-15,Materials,4970000.0,2760000.0,2.67,,,0.41,8.0,0.23,0.93
ERL,2019-05-20,Materials,4350000.0,2760000.0,2.33,,,0.36,7.0,0.23,0.93
ERL,2019-05-21,Materials,4350000.0,2760000.0,2.33,,,0.36,7.0,0.23,0.93
ERL,2019-05-22,Materials,4350000.0,2760000.0,2.33,,,0.36,7.0,0.23,0.93
ERL,2019-05-23,Materials,4350000.0,2760000.0,2.33,,,0.36,7.0,0.23,0.93
ERL,2019-05-27,Materials,4350000.0,2760000.0,2.33,,,0.36,7.0,0.23,0.93
ERL,2019-05-28,Materials,4350000.0,2760000.0,2.33,,,0.36,7.0,0.23,0.93
ERL,2019-05-29,Materials,4350000.0,2760000.0,2.33,,,0.36,7.0,0.23,0.93
ERL,2019-05-30,Materials,4350000.0,2760000.0,2.33,,,0.36,7.0,0.23,0.93
ERL,2019-06-01,Materials,4350000.0,2760000.0,2.33,,,0.36,7.0,0.23,0.93
