asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
ESR,2019-05-13,Materials,6890000.0,6110000.0,,,,75.49,1.44,66.92,-12.08
ESR,2019-05-14,Materials,6890000.0,6110000.0,,,,75.49,1.44,66.92,-12.08
ESR,2019-05-15,Materials,6890000.0,6110000.0,,,,75.49,1.44,66.92,-12.08
ESR,2019-05-16,Materials,5830000.0,6110000.0,,,,63.87,1.22,66.92,-12.08
ESR,2019-05-17,Materials,6360000.0,5130000.0,,,,69.68,1.33,56.15,-10.14
ESR,2019-05-20,Materials,6360000.0,5620000.0,,,,69.68,1.33,61.53,-11.11
ESR,2019-05-21,Materials,6360000.0,5620000.0,,,,69.68,1.33,61.53,-11.11
ESR,2019-05-22,Materials,6360000.0,5620000.0,,,,69.68,1.33,61.53,-11.11
ESR,2019-05-23,Materials,5830000.0,5620000.0,,,,63.87,1.22,61.53,-11.11
ESR,2019-06-03,Materials,6890000.0,5130000.0,,,,75.49,1.44,56.15,-10.14
ESR,2019-06-04,Materials,6360000.0,5130000.0,,,,69.68,1.33,56.15,-10.14
ESR,2019-06-05,Materials,5300000.0,5130000.0,,,,58.07,1.11,56.15,-10.14
ESR,2019-06-06,Materials,5830000.0,5620000.0,,,,63.87,1.22,61.53,-11.11
