asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
EVE,2019-05-06,Diversified Financials,11880000.0,12170000.0,,,,12.19,1.67,12.49,
EVE,2019-05-07,Diversified Financials,11880000.0,12170000.0,,,,12.19,1.67,12.49,
EVE,2019-05-08,Diversified Financials,11880000.0,12170000.0,,,,12.19,1.67,12.49,
EVE,2019-05-09,Diversified Financials,11880000.0,12170000.0,,,,12.19,,12.49,
EVE,2019-05-10,Diversified Financials,11880000.0,12170000.0,,,,12.19,1.67,12.49,
EVE,2019-05-13,Diversified Financials,11880000.0,12170000.0,,,,12.19,1.67,12.49,
EVE,2019-05-14,Diversified Financials,11880000.0,12170000.0,,,,12.19,1.67,12.49,
EVE,2019-05-15,Diversified Financials,11880000.0,12170000.0,,,,12.19,1.67,12.49,
EVE,2019-05-16,Diversified Financials,11880000.0,12170000.0,,,,12.19,1.67,12.49,
EVE,2019-05-17,Diversified Financials,11880000.0,13300000.0,,,,12.19,1.67,13.65,
EVE,2019-05-20,Diversified Financials,11880000.0,12170000.0,,,,12.19,1.67,12.49,
EVE,2019-05-21,Diversified Financials,11880000.0,12170000.0,,,,12.19,1.67,12.49,
EVE,2019-05-22,Diversified Financials,11880000.0,12170000.0,,,,12.19,1.67,12.49,
EVE,2019-05-23,Diversified Financials,11880000.0,12170000.0,,,,12.19,1.67,12.49,
EVE,2019-05-27,Diversified Financials,11880000.0,12170000.0,,,,12.19,1.67,12.49,
EVE,2019-05-28,Diversified Financials,11970000.0,12170000.0,,,,12.28,1.67,12.49,
EVE,2019-05-29,Diversified Financials,9570000.0,12170000.0,,,,9.82,1.33,12.49,
EVE,2019-05-30,Diversified Financials,9570000.0,12170000.0,,,,9.82,1.33,12.49,
EVE,2019-06-01,Diversified Financials,9570000.0,12170000.0,,,,9.82,1.33,12.49,
EVE,2019-06-03,Diversified Financials,9570000.0,11030000.0,,,,9.82,1.33,11.32,
EVE,2019-06-04,Diversified Financials,9570000.0,11030000.0,,,,9.82,1.33,11.32,
EVE,2019-06-05,Diversified Financials,9570000.0,11030000.0,,,,9.82,1.33,11.32,
EVE,2019-06-06,Diversified Financials,9570000.0,11030000.0,,,,9.82,1.33,11.32,
