asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
EVN,2019-05-06,Materials,5240000000.0,5240000000.0,22.72,,,3.46,2.27,3.46,7.18
EVN,2019-05-07,Materials,5360000000.0,5240000000.0,23.24,,,3.54,2.32,3.46,7.18
EVN,2019-05-08,Materials,5480000000.0,5400000000.0,23.75,,,3.62,2.37,3.56,7.39
EVN,2019-05-09,Materials,5570000000.0,5240000000.0,24.12,,,3.68,2.41,3.46,7.18
EVN,2019-05-10,Materials,5650000000.0,5400000000.0,24.49,,,3.73,2.44,3.56,7.39
EVN,2019-05-13,Materials,5650000000.0,5680000000.0,24.49,,,3.73,2.44,3.75,7.79
EVN,2019-05-14,Materials,6060000000.0,5680000000.0,26.25,,,4.0,2.62,3.75,7.79
EVN,2019-05-15,Materials,6080000000.0,5680000000.0,26.32,,,4.01,2.63,3.75,7.79
EVN,2019-05-16,Materials,6180000000.0,5680000000.0,26.76,,,4.08,2.67,3.75,7.79
EVN,2019-05-17,Materials,6280000000.0,6210000000.0,27.21,,,4.15,2.71,4.1,8.51
EVN,2019-05-20,Materials,6130000000.0,6310000000.0,26.54,,,4.05,2.65,4.17,8.65
EVN,2019-05-21,Materials,6330000000.0,6160000000.0,27.43,,,4.18,2.74,4.07,8.44
EVN,2019-05-22,Materials,6180000000.0,6160000000.0,26.76,,,4.08,2.67,4.07,8.44
EVN,2019-05-23,Materials,6180000000.0,6160000000.0,26.76,,,4.08,2.67,4.07,8.44
EVN,2019-05-27,Materials,6260000000.0,6210000000.0,27.13,,,4.13,2.71,4.1,8.51
EVN,2019-05-28,Materials,6280000000.0,6210000000.0,27.21,,,4.15,2.71,4.1,8.51
EVN,2019-05-29,Materials,6260000000.0,6210000000.0,27.13,,,4.13,2.71,4.1,8.51
EVN,2019-05-30,Materials,6230000000.0,6210000000.0,26.99,,,4.11,2.69,4.1,8.51
EVN,2019-06-01,Materials,6570000000.0,6210000000.0,28.46,,,4.34,2.84,4.1,8.51
EVN,2019-06-03,Materials,6810000000.0,6600000000.0,29.49,,,4.49,2.94,4.36,9.04
EVN,2019-06-04,Materials,6970000000.0,6600000000.0,30.22,,,4.61,3.02,4.36,9.04
EVN,2019-06-05,Materials,6580000000.0,6600000000.0,28.53,,,4.35,2.85,4.36,9.04
EVN,2019-06-06,Materials,6580000000.0,7010000000.0,28.53,,,4.35,2.85,4.63,9.6
