asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
EZL,2019-05-06,Diversified Financials,181050000.0,153540000.0,11.96,,,2.44,1.39,2.07,
EZL,2019-05-07,Diversified Financials,179490000.0,144180000.0,11.86,,,2.42,1.38,1.94,
EZL,2019-05-08,Diversified Financials,188850000.0,144180000.0,12.47,,,2.54,1.45,1.94,
EZL,2019-05-09,Diversified Financials,177930000.0,142620000.0,11.75,,,2.4,1.37,1.92,
EZL,2019-05-10,Diversified Financials,177930000.0,141060000.0,11.75,,,2.4,1.37,1.9,
EZL,2019-05-13,Diversified Financials,181050000.0,141060000.0,11.96,,,2.44,1.39,1.9,
EZL,2019-05-14,Diversified Financials,183390000.0,144180000.0,12.11,,,2.47,1.41,1.94,
EZL,2019-05-15,Diversified Financials,185730000.0,144180000.0,12.27,,,2.5,1.43,1.94,
EZL,2019-05-16,Diversified Financials,181050000.0,144180000.0,11.96,,,2.44,1.39,1.94,
EZL,2019-05-17,Diversified Financials,181050000.0,144180000.0,11.96,,,2.44,1.39,1.94,
EZL,2019-05-20,Diversified Financials,181050000.0,144180000.0,11.96,,,2.44,1.39,1.94,
EZL,2019-05-21,Diversified Financials,178710000.0,144180000.0,11.8,,,2.41,1.37,1.94,
EZL,2019-05-22,Diversified Financials,181050000.0,144180000.0,11.96,,,2.44,1.39,1.94,
EZL,2019-05-23,Diversified Financials,176370000.0,144180000.0,11.65,,,2.38,1.35,1.94,
EZL,2019-05-27,Diversified Financials,180270000.0,139490000.0,11.91,,,2.43,1.38,1.88,
EZL,2019-05-28,Diversified Financials,184950000.0,139490000.0,12.22,,,2.49,1.42,1.88,
EZL,2019-05-29,Diversified Financials,183390000.0,139490000.0,12.11,,,2.47,1.41,1.88,
EZL,2019-05-30,Diversified Financials,184170000.0,139490000.0,12.16,,,2.48,1.41,1.88,
EZL,2019-06-01,Diversified Financials,184170000.0,139490000.0,12.16,,,2.48,1.41,1.88,
EZL,2019-06-03,Diversified Financials,187290000.0,147300000.0,12.37,,,2.52,1.44,1.98,
EZL,2019-06-04,Diversified Financials,185730000.0,147300000.0,12.27,,,2.5,1.43,1.98,
EZL,2019-06-05,Diversified Financials,187290000.0,147300000.0,12.37,,,2.52,1.44,1.98,
EZL,2019-06-06,Diversified Financials,193540000.0,148860000.0,12.78,,,2.61,1.49,2.01,
