asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
FGX,2019-05-06,Not Applic,455800000.0,414480000.0,17.69,,,14.5,1.02,13.19,11.51
FGX,2019-05-07,Not Applic,455800000.0,408540000.0,17.69,,,14.5,1.02,13.0,11.34
FGX,2019-05-08,Not Applic,453820000.0,408540000.0,17.62,,,14.44,1.01,13.0,11.34
FGX,2019-05-09,Not Applic,450930000.0,408540000.0,17.46,,,14.35,1.0,13.0,11.34
FGX,2019-05-10,Not Applic,454900000.0,402590000.0,17.62,,,14.47,1.01,12.81,11.18
FGX,2019-05-13,Not Applic,446960000.0,406550000.0,17.31,,,14.22,1.0,12.94,11.29
FGX,2019-05-14,Not Applic,450930000.0,398630000.0,17.46,,,14.35,1.0,12.68,11.07
FGX,2019-05-15,Not Applic,456890000.0,398630000.0,17.69,,,14.54,1.02,12.68,11.07
FGX,2019-05-16,Not Applic,456890000.0,398630000.0,17.69,,,14.54,1.02,12.68,11.07
FGX,2019-05-17,Not Applic,468810000.0,408540000.0,18.15,,,14.92,1.04,13.0,11.34
FGX,2019-05-20,Not Applic,472780000.0,420430000.0,18.31,,,15.04,1.05,13.38,11.67
FGX,2019-05-21,Not Applic,472780000.0,424390000.0,18.31,,,15.04,1.05,13.5,11.78
FGX,2019-05-22,Not Applic,470790000.0,424390000.0,18.23,,,14.98,1.05,13.5,11.78
FGX,2019-05-23,Not Applic,466820000.0,424390000.0,18.08,,,14.85,1.04,13.5,11.78
FGX,2019-05-27,Not Applic,466820000.0,418440000.0,18.08,,,14.85,1.04,13.31,11.62
FGX,2019-05-28,Not Applic,468810000.0,418440000.0,18.15,,,14.92,1.04,13.31,11.62
FGX,2019-05-29,Not Applic,468810000.0,418440000.0,18.15,,,14.92,1.04,13.31,11.62
FGX,2019-05-30,Not Applic,470790000.0,418440000.0,18.23,,,14.98,1.05,13.31,11.62
FGX,2019-06-01,Not Applic,468810000.0,418440000.0,18.15,,,14.92,1.04,13.31,11.62
FGX,2019-06-03,Not Applic,464840000.0,420430000.0,18.0,,,14.79,1.04,13.38,11.67
FGX,2019-06-04,Not Applic,456890000.0,420430000.0,17.69,,,14.54,1.02,13.38,11.67
FGX,2019-06-05,Not Applic,462850000.0,420430000.0,17.92,,,14.73,1.03,13.38,11.67
FGX,2019-06-06,Not Applic,458880000.0,408540000.0,17.77,,,14.6,1.02,13.0,11.34
