asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
FLT,2019-05-06,Consumer Services,3870000000.0,3610000000.0,15.79,,,1.28,2.57,1.2,8.39
FLT,2019-05-07,Consumer Services,3830000000.0,3510000000.0,15.65,,,1.27,2.54,1.16,8.15
FLT,2019-05-08,Consumer Services,3900000000.0,3510000000.0,15.95,,,1.29,2.59,1.16,8.15
FLT,2019-05-09,Consumer Services,3990000000.0,3470000000.0,16.29,,,1.32,2.65,1.15,8.07
FLT,2019-05-10,Consumer Services,4020000000.0,3630000000.0,16.41,,,1.33,2.67,1.2,8.43
FLT,2019-05-13,Consumer Services,4020000000.0,3660000000.0,16.43,,,1.33,2.67,1.21,8.5
FLT,2019-05-14,Consumer Services,4010000000.0,3660000000.0,16.39,,,1.33,2.67,1.21,8.51
FLT,2019-05-15,Consumer Services,4030000000.0,3660000000.0,16.47,,,1.33,2.68,1.21,8.51
FLT,2019-05-16,Consumer Services,4040000000.0,3660000000.0,16.52,,,1.34,2.69,1.21,8.51
FLT,2019-05-17,Consumer Services,4080000000.0,3690000000.0,16.68,,,1.35,2.71,1.22,8.57
FLT,2019-05-20,Consumer Services,4150000000.0,3720000000.0,16.95,,,1.37,2.76,1.23,8.65
FLT,2019-05-21,Consumer Services,4160000000.0,3790000000.0,16.98,,,1.37,2.76,1.25,8.81
FLT,2019-05-22,Consumer Services,4210000000.0,3790000000.0,17.22,,,1.39,2.8,1.25,8.81
FLT,2019-05-23,Consumer Services,4290000000.0,3790000000.0,17.52,,,1.42,2.85,1.25,8.81
FLT,2019-05-27,Consumer Services,4330000000.0,3930000000.0,17.7,,,1.43,2.88,1.3,9.13
FLT,2019-05-28,Consumer Services,4420000000.0,3930000000.0,18.04,,,1.46,2.93,1.3,9.13
FLT,2019-05-29,Consumer Services,4400000000.0,3930000000.0,17.97,,,1.45,2.92,1.3,9.13
FLT,2019-05-30,Consumer Services,4400000000.0,3930000000.0,17.97,,,1.45,2.92,1.3,9.13
FLT,2019-06-01,Consumer Services,4410000000.0,3930000000.0,18.0,,,1.46,2.93,1.3,9.13
FLT,2019-06-03,Consumer Services,4400000000.0,4050000000.0,17.97,,,1.45,2.92,1.34,9.41
FLT,2019-06-04,Consumer Services,4410000000.0,4050000000.0,18.01,,,1.46,2.93,1.34,9.41
FLT,2019-06-05,Consumer Services,4420000000.0,4050000000.0,18.05,,,1.46,2.94,1.34,9.41
FLT,2019-06-06,Consumer Services,4450000000.0,4050000000.0,18.17,,,1.47,2.96,1.34,9.41
