asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
FOR,2019-05-06,Not Applic,148000000.0,-5140000.0,,,,-4.36,0.97,0.15,
FOR,2019-05-07,Not Applic,145150000.0,-4570000.0,,,,-4.28,0.95,0.14,
FOR,2019-05-08,Not Applic,143440000.0,-7410000.0,,,,-4.23,0.94,0.22,
FOR,2019-05-09,Not Applic,143440000.0,-4570000.0,,,,-4.23,0.94,0.14,
FOR,2019-05-10,Not Applic,144010000.0,-9120000.0,,,,-4.24,0.94,0.27,
FOR,2019-05-13,Not Applic,143440000.0,-8550000.0,,,,-4.23,0.94,0.25,
FOR,2019-05-14,Not Applic,142870000.0,-9120000.0,,,,-4.21,0.94,0.27,
FOR,2019-05-15,Not Applic,142870000.0,-9120000.0,,,,-4.21,0.94,0.27,
FOR,2019-05-16,Not Applic,142870000.0,-9120000.0,,,,-4.21,0.94,0.27,
FOR,2019-05-17,Not Applic,141740000.0,-9120000.0,,,,-4.18,0.93,0.27,
FOR,2019-05-20,Not Applic,141170000.0,-10830000.0,,,,-4.16,0.93,0.32,
FOR,2019-05-21,Not Applic,139460000.0,-11400000.0,,,,-4.11,0.91,0.34,
FOR,2019-05-22,Not Applic,141170000.0,-11400000.0,,,,-4.16,0.93,0.34,
FOR,2019-05-23,Not Applic,137180000.0,-11400000.0,,,,-4.04,0.9,0.34,
FOR,2019-05-27,Not Applic,137180000.0,-15380000.0,,,,-4.04,0.9,0.45,
FOR,2019-05-28,Not Applic,137180000.0,-15380000.0,,,,-4.04,0.9,0.45,
FOR,2019-05-29,Not Applic,139460000.0,-15380000.0,,,,-4.11,0.91,0.45,
FOR,2019-05-30,Not Applic,141170000.0,-15380000.0,,,,-4.16,0.93,0.45,
FOR,2019-06-01,Not Applic,138320000.0,-15380000.0,,,,-4.08,0.91,0.45,
FOR,2019-06-03,Not Applic,137750000.0,-14240000.0,,,,-4.06,0.9,0.42,
FOR,2019-06-04,Not Applic,134340000.0,-14240000.0,,,,-3.96,0.88,0.42,
FOR,2019-06-05,Not Applic,134340000.0,-14240000.0,,,,-3.96,0.88,0.42,
FOR,2019-06-06,Not Applic,134340000.0,-18230000.0,,,,-3.96,0.88,0.54,
