asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
FPH,2019-05-06,Health Care Equipment & Services,8380000000.0,8600000000.0,59.43,,,,15.66,,
FPH,2019-05-07,Health Care Equipment & Services,8460000000.0,8330000000.0,59.96,,,,15.8,,
FPH,2019-05-08,Health Care Equipment & Services,8480000000.0,8400000000.0,60.08,,,,15.83,,
FPH,2019-05-09,Health Care Equipment & Services,,,,,,,,,
FPH,2019-05-10,Health Care Equipment & Services,8770000000.0,8520000000.0,61.39,,,,16.17,,
FPH,2019-05-13,Health Care Equipment & Services,8930000000.0,8600000000.0,,,,,16.46,,
FPH,2019-05-14,Health Care Equipment & Services,8920000000.0,8760000000.0,62.41,,,,16.44,,
FPH,2019-05-15,Health Care Equipment & Services,8980000000.0,8760000000.0,62.86,,,,16.56,,
FPH,2019-05-16,Health Care Equipment & Services,8930000000.0,8760000000.0,,,,,16.46,,
FPH,2019-05-17,Health Care Equipment & Services,9010000000.0,8760000000.0,63.1,,,,16.62,,
FPH,2019-05-20,Health Care Equipment & Services,8880000000.0,8840000000.0,62.94,,,,,,
FPH,2019-05-21,Health Care Equipment & Services,8840000000.0,8820000000.0,62.65,,,,16.51,,
FPH,2019-05-22,Health Care Equipment & Services,8900000000.0,8820000000.0,63.06,,,,,,
FPH,2019-05-23,Health Care Equipment & Services,9050000000.0,8820000000.0,,,,,16.81,,
FPH,2019-05-27,Health Care Equipment & Services,8860000000.0,8940000000.0,62.45,,,,16.45,,
FPH,2019-05-28,Health Care Equipment & Services,8380000000.0,8940000000.0,59.18,,,,,,
FPH,2019-05-29,Health Care Equipment & Services,8400000000.0,8940000000.0,,,,,15.63,,
FPH,2019-05-30,Health Care Equipment & Services,8360000000.0,8940000000.0,,,,,,,
FPH,2019-06-01,Health Care Equipment & Services,8360000000.0,8940000000.0,,,,,,,
FPH,2019-06-03,Health Care Equipment & Services,8350000000.0,8300000000.0,58.2,,,,15.33,,
FPH,2019-06-04,Health Care Equipment & Services,8280000000.0,8300000000.0,,,,,15.22,,
FPH,2019-06-05,Health Care Equipment & Services,8360000000.0,8300000000.0,,,,,,,
FPH,2019-06-06,Health Care Equipment & Services,8520000000.0,8120000000.0,59.63,,,,15.71,,
