asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
FSF,2019-05-06,"Food, Beverage & Tobacco",434250000.0,448930000.0,,,,,0.93,,
FSF,2019-05-07,"Food, Beverage & Tobacco",434250000.0,448930000.0,,,,,0.93,,
FSF,2019-05-08,"Food, Beverage & Tobacco",434250000.0,448930000.0,,,,,0.93,,
FSF,2019-05-09,"Food, Beverage & Tobacco",433240000.0,448930000.0,,,,,,,
FSF,2019-05-10,"Food, Beverage & Tobacco",430040000.0,448930000.0,,,,,,,
FSF,2019-05-13,"Food, Beverage & Tobacco",437490000.0,445610000.0,,,,,0.93,,
FSF,2019-05-14,"Food, Beverage & Tobacco",419170000.0,448930000.0,,,,,0.89,,
FSF,2019-05-15,"Food, Beverage & Tobacco",423480000.0,448930000.0,,,,,0.9,,
FSF,2019-05-16,"Food, Beverage & Tobacco",432100000.0,448930000.0,,,,,,,
FSF,2019-05-17,"Food, Beverage & Tobacco",432100000.0,443400000.0,,,,,,,
FSF,2019-05-20,"Food, Beverage & Tobacco",422690000.0,443400000.0,,,,,,,
FSF,2019-05-21,"Food, Beverage & Tobacco",423760000.0,435660000.0,,,,,0.91,,
FSF,2019-05-22,"Food, Beverage & Tobacco",424830000.0,435660000.0,,,,,0.91,,
FSF,2019-05-23,"Food, Beverage & Tobacco",428100000.0,435660000.0,,,,,,,
FSF,2019-05-27,"Food, Beverage & Tobacco",429180000.0,435660000.0,,,,,,,
FSF,2019-05-28,"Food, Beverage & Tobacco",429370000.0,435660000.0,,,,,,,
FSF,2019-05-29,"Food, Beverage & Tobacco",415350000.0,435660000.0,,,,,0.88,,
FSF,2019-05-30,"Food, Beverage & Tobacco",399170000.0,435660000.0,,,,,0.85,,
FSF,2019-06-01,"Food, Beverage & Tobacco",399170000.0,435660000.0,,,,,0.85,,
FSF,2019-06-03,"Food, Beverage & Tobacco",404830000.0,409120000.0,,,,,,,
FSF,2019-06-04,"Food, Beverage & Tobacco",415770000.0,409120000.0,,,,,0.87,,
FSF,2019-06-05,"Food, Beverage & Tobacco",415770000.0,409120000.0,,,,,0.87,,
FSF,2019-06-06,"Food, Beverage & Tobacco",401890000.0,420180000.0,,,,,,,
