asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
FTT,2019-05-06,"Pharmaceuticals, Biotechnology & Life Sciences",4170000.0,1140000.0,,,,77.68,4.0,21.29,-0.11
FTT,2019-05-07,"Pharmaceuticals, Biotechnology & Life Sciences",4170000.0,1140000.0,,,,77.68,4.0,21.29,-0.11
FTT,2019-05-08,"Pharmaceuticals, Biotechnology & Life Sciences",4170000.0,1140000.0,,,,77.68,4.0,21.29,-0.11
FTT,2019-05-09,"Pharmaceuticals, Biotechnology & Life Sciences",4170000.0,726350.0,,,,77.68,4.0,13.53,-0.07
FTT,2019-05-10,"Pharmaceuticals, Biotechnology & Life Sciences",4170000.0,726350.0,,,,77.68,4.0,13.53,-0.07
FTT,2019-05-15,"Pharmaceuticals, Biotechnology & Life Sciences",4170000.0,726350.0,,,,77.68,4.0,13.53,-0.07
FTT,2019-05-27,"Pharmaceuticals, Biotechnology & Life Sciences",6260000.0,1980000.0,,,,116.52,6.0,36.83,-0.19
FTT,2019-05-28,"Pharmaceuticals, Biotechnology & Life Sciences",6260000.0,1980000.0,,,,116.52,6.0,36.83,-0.19
FTT,2019-05-29,"Pharmaceuticals, Biotechnology & Life Sciences",6260000.0,1980000.0,,,,116.52,6.0,36.83,-0.19
FTT,2019-05-30,"Pharmaceuticals, Biotechnology & Life Sciences",6260000.0,1980000.0,,,,116.52,6.0,36.83,-0.19
FTT,2019-06-01,"Pharmaceuticals, Biotechnology & Life Sciences",5210000.0,1980000.0,,,,97.1,5.0,36.83,-0.19
