asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
GLV,2019-05-06,Energy,5660000.0,5180000.0,,,,35.26,1.0,32.29,
GLV,2019-05-07,Energy,5660000.0,5180000.0,,,,35.26,1.0,32.29,
GLV,2019-05-08,Energy,5660000.0,5180000.0,,,,35.26,1.0,32.29,
GLV,2019-05-09,Energy,5660000.0,5180000.0,,,,35.26,1.0,32.29,
GLV,2019-05-10,Energy,5660000.0,5180000.0,,,,35.26,1.0,32.29,
GLV,2019-05-13,Energy,2830000.0,5180000.0,,,,17.63,0.5,32.29,
GLV,2019-05-14,Energy,5660000.0,3770000.0,,,,35.26,1.0,23.49,
GLV,2019-05-15,Energy,5660000.0,3770000.0,,,,35.26,1.0,23.49,
GLV,2019-05-16,Energy,5660000.0,3770000.0,,,,35.26,1.0,23.49,
GLV,2019-05-17,Energy,5660000.0,5180000.0,,,,35.26,1.0,32.29,
GLV,2019-05-20,Energy,5660000.0,5180000.0,,,,35.26,1.0,32.29,
GLV,2019-05-21,Energy,5660000.0,5180000.0,,,,35.26,1.0,32.29,
GLV,2019-05-22,Energy,5660000.0,5180000.0,,,,35.26,1.0,32.29,
GLV,2019-05-23,Energy,5660000.0,5180000.0,,,,35.26,1.0,32.29,
GLV,2019-05-27,Energy,5660000.0,5180000.0,,,,35.26,1.0,32.29,
GLV,2019-05-28,Energy,5660000.0,5180000.0,,,,35.26,1.0,32.29,
GLV,2019-05-29,Energy,5660000.0,5180000.0,,,,35.26,1.0,32.29,
GLV,2019-05-30,Energy,5660000.0,5180000.0,,,,35.26,1.0,32.29,
GLV,2019-06-01,Energy,5660000.0,5180000.0,,,,35.26,1.0,32.29,
GLV,2019-06-03,Energy,5660000.0,5180000.0,,,,35.26,1.0,32.29,
GLV,2019-06-04,Energy,5660000.0,5180000.0,,,,35.26,1.0,32.29,
GLV,2019-06-05,Energy,5660000.0,5180000.0,,,,35.26,1.0,32.29,
GLV,2019-06-06,Energy,5660000.0,5180000.0,,,,35.26,1.0,32.29,
