asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
GMN,2019-05-06,Materials,32660000.0,31420000.0,,,,-2896.07,1.65,-2785.71,-34.54
GMN,2019-05-07,Materials,32660000.0,31420000.0,,,,-2896.07,1.65,-2785.71,-34.54
GMN,2019-05-08,Materials,32660000.0,31420000.0,,,,-2896.07,1.65,-2785.71,-34.54
GMN,2019-05-09,Materials,32660000.0,31420000.0,,,,-2896.07,1.65,-2785.71,-34.54
GMN,2019-05-10,Materials,32660000.0,31420000.0,,,,-2896.07,1.65,-2785.71,-34.54
GMN,2019-05-15,Materials,31060000.0,31420000.0,,,,-2753.64,1.57,-2785.71,-34.54
GMN,2019-05-20,Materials,31060000.0,29870000.0,,,,-2753.64,1.57,-2648.68,-32.84
GMN,2019-05-21,Materials,31060000.0,29870000.0,,,,-2753.64,1.57,-2648.68,-32.84
GMN,2019-05-22,Materials,31060000.0,29870000.0,,,,-2753.64,1.57,-2648.68,-32.84
GMN,2019-05-23,Materials,31060000.0,29870000.0,,,,-2753.64,1.57,-2648.68,-32.84
GMN,2019-06-03,Materials,26770000.0,25750000.0,,,,-2373.83,1.35,-2283.26,-28.31
GMN,2019-06-04,Materials,25700000.0,25750000.0,,,,-2278.87,1.3,-2283.26,-28.31
GMN,2019-06-05,Materials,24090000.0,25750000.0,,,,-2136.44,1.22,-2283.26,-28.31
GMN,2019-06-06,Materials,25700000.0,24720000.0,,,,-2278.87,1.3,-2191.91,-27.18
