asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
GOW,2019-05-06,Diversified Financials,134480000.0,224540000.0,208.33,,,2.25,0.64,3.76,25.22
GOW,2019-05-07,Diversified Financials,135020000.0,224540000.0,209.17,,,2.26,0.65,3.76,25.22
GOW,2019-05-08,Diversified Financials,132330000.0,224540000.0,205.0,,,2.21,0.63,3.76,25.22
GOW,2019-05-09,Diversified Financials,132150000.0,224540000.0,204.17,,,2.21,0.63,3.76,25.22
GOW,2019-05-10,Diversified Financials,132150000.0,221310000.0,204.17,,,2.21,0.63,3.7,24.85
GOW,2019-05-13,Diversified Financials,133230000.0,221310000.0,205.83,,,2.23,0.63,3.7,24.85
GOW,2019-05-14,Diversified Financials,133230000.0,222390000.0,205.83,,,2.23,0.63,3.72,24.97
GOW,2019-05-15,Diversified Financials,132150000.0,222390000.0,204.17,,,2.21,0.63,3.72,24.97
GOW,2019-05-16,Diversified Financials,132150000.0,222390000.0,204.17,,,2.21,0.63,3.72,24.97
GOW,2019-05-17,Diversified Financials,135390000.0,221310000.0,209.17,,,2.27,0.65,3.7,24.85
GOW,2019-05-27,Diversified Financials,134850000.0,224000000.0,208.33,,,2.26,0.64,3.75,25.16
GOW,2019-05-28,Diversified Financials,134850000.0,224000000.0,208.33,,,2.26,0.64,3.75,25.16
GOW,2019-05-29,Diversified Financials,133770000.0,224000000.0,206.67,,,2.24,0.64,3.75,25.16
GOW,2019-05-30,Diversified Financials,132690000.0,224000000.0,205.0,,,2.22,0.63,3.75,25.16
GOW,2019-06-01,Diversified Financials,132690000.0,224000000.0,205.0,,,2.22,0.63,3.75,25.16
GOW,2019-06-03,Diversified Financials,132690000.0,221850000.0,205.0,,,2.22,0.63,3.71,24.91
GOW,2019-06-04,Diversified Financials,132690000.0,221850000.0,205.0,,,2.22,0.63,3.71,24.91
GOW,2019-06-05,Diversified Financials,132150000.0,221850000.0,204.17,,,2.21,0.63,3.71,24.91
GOW,2019-06-06,Diversified Financials,133770000.0,221850000.0,206.67,,,2.24,0.64,3.71,24.91
