asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
GPT,2019-05-06,Real Estate,10220000000.0,14450000000.0,7.05,,,13.55,1.01,19.17,30.4
GPT,2019-05-07,Real Estate,10250000000.0,14450000000.0,7.07,,,13.6,1.02,19.17,30.4
GPT,2019-05-08,Real Estate,10230000000.0,14390000000.0,7.06,,,13.57,1.01,19.09,30.28
GPT,2019-05-09,Real Estate,10290000000.0,14390000000.0,7.1,,,13.65,1.02,19.09,30.28
GPT,2019-05-10,Real Estate,10360000000.0,14390000000.0,7.15,,,13.74,1.03,19.09,30.28
GPT,2019-05-13,Real Estate,10590000000.0,14540000000.0,7.31,,,14.05,1.05,19.28,30.59
GPT,2019-05-14,Real Estate,10610000000.0,14540000000.0,7.32,,,14.08,1.05,19.28,30.59
GPT,2019-05-15,Real Estate,10580000000.0,14790000000.0,7.3,,,14.03,1.05,19.62,31.12
GPT,2019-05-16,Real Estate,10650000000.0,14760000000.0,7.35,,,14.13,1.05,19.57,31.05
GPT,2019-05-17,Real Estate,10670000000.0,14760000000.0,7.36,,,14.15,1.06,19.57,31.05
GPT,2019-05-20,Real Estate,10650000000.0,14850000000.0,7.35,,,14.13,1.05,19.69,31.24
GPT,2019-05-21,Real Estate,10700000000.0,14850000000.0,7.38,,,14.2,1.06,19.69,31.24
GPT,2019-05-22,Real Estate,10670000000.0,14850000000.0,7.36,,,14.15,1.06,19.69,31.24
GPT,2019-05-23,Real Estate,10780000000.0,14850000000.0,7.43,,,14.29,1.07,19.69,31.24
GPT,2019-05-27,Real Estate,10790000000.0,14950000000.0,7.45,,,14.32,1.07,19.84,31.46
GPT,2019-05-28,Real Estate,10780000000.0,14950000000.0,7.43,,,14.29,1.07,19.84,31.46
GPT,2019-05-29,Real Estate,10680000000.0,14950000000.0,7.37,,,14.17,1.06,19.84,31.46
GPT,2019-05-30,Real Estate,10380000000.0,14950000000.0,7.16,,,13.77,1.03,19.84,31.46
GPT,2019-06-01,Real Estate,10400000000.0,14950000000.0,7.17,,,13.79,1.03,19.84,31.46
GPT,2019-06-03,Real Estate,10450000000.0,14580000000.0,7.21,,,13.86,1.03,19.33,30.67
GPT,2019-06-04,Real Estate,10760000000.0,14580000000.0,7.42,,,14.27,1.07,19.33,30.67
GPT,2019-06-05,Real Estate,10470000000.0,14940000000.0,7.22,,,13.89,1.04,19.81,31.42
GPT,2019-06-06,Real Estate,10700000000.0,14940000000.0,7.38,,,14.2,1.06,19.81,31.42
