asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
GSS,2019-05-06,"Pharmaceuticals, Biotechnology & Life Sciences",109230000.0,102420000.0,,,,18.23,9.21,17.09,-36.05
GSS,2019-05-07,"Pharmaceuticals, Biotechnology & Life Sciences",107150000.0,102420000.0,,,,17.88,9.04,17.09,-36.05
GSS,2019-05-08,"Pharmaceuticals, Biotechnology & Life Sciences",104030000.0,98260000.0,,,,17.36,8.77,16.4,-34.59
GSS,2019-05-09,"Pharmaceuticals, Biotechnology & Life Sciences",108710000.0,98260000.0,,,,18.14,9.17,16.4,-34.59
GSS,2019-05-10,"Pharmaceuticals, Biotechnology & Life Sciences",118080000.0,99820000.0,,,,19.71,9.96,16.66,-35.14
GSS,2019-05-13,"Pharmaceuticals, Biotechnology & Life Sciences",118080000.0,109170000.0,,,,19.71,9.96,18.22,-38.43
GSS,2019-05-14,"Pharmaceuticals, Biotechnology & Life Sciences",114950000.0,109170000.0,,,,19.19,9.69,18.22,-38.43
GSS,2019-05-15,"Pharmaceuticals, Biotechnology & Life Sciences",108190000.0,109170000.0,,,,18.06,9.12,18.22,-38.43
GSS,2019-05-16,"Pharmaceuticals, Biotechnology & Life Sciences",107670000.0,109170000.0,,,,17.97,9.08,18.22,-38.43
GSS,2019-05-17,"Pharmaceuticals, Biotechnology & Life Sciences",111830000.0,98780000.0,,,,18.67,9.43,16.49,-34.77
GSS,2019-05-20,"Pharmaceuticals, Biotechnology & Life Sciences",111830000.0,102940000.0,,,,18.67,9.43,17.18,-36.23
GSS,2019-05-21,"Pharmaceuticals, Biotechnology & Life Sciences",111830000.0,102940000.0,,,,18.67,9.43,17.18,-36.23
GSS,2019-05-22,"Pharmaceuticals, Biotechnology & Life Sciences",111830000.0,102940000.0,,,,18.67,9.43,17.18,-36.23
GSS,2019-05-23,"Pharmaceuticals, Biotechnology & Life Sciences",112350000.0,102940000.0,,,,18.75,9.47,17.18,-36.23
GSS,2019-05-27,"Pharmaceuticals, Biotechnology & Life Sciences",114430000.0,103450000.0,,,,19.1,9.65,17.27,-36.42
GSS,2019-05-28,"Pharmaceuticals, Biotechnology & Life Sciences",109230000.0,103450000.0,,,,18.23,9.21,17.27,-36.42
GSS,2019-05-29,"Pharmaceuticals, Biotechnology & Life Sciences",109230000.0,103450000.0,,,,18.23,9.21,17.27,-36.42
GSS,2019-05-30,"Pharmaceuticals, Biotechnology & Life Sciences",111310000.0,103450000.0,,,,18.58,9.39,17.27,-36.42
GSS,2019-06-01,"Pharmaceuticals, Biotechnology & Life Sciences",114430000.0,103450000.0,,,,19.1,9.65,17.27,-36.42
GSS,2019-06-03,"Pharmaceuticals, Biotechnology & Life Sciences",114430000.0,105530000.0,,,,19.1,9.65,17.61,-37.15
GSS,2019-06-04,"Pharmaceuticals, Biotechnology & Life Sciences",114430000.0,105530000.0,,,,19.1,9.65,17.61,-37.15
GSS,2019-06-05,"Pharmaceuticals, Biotechnology & Life Sciences",113390000.0,105530000.0,,,,18.93,9.56,17.61,-37.15
GSS,2019-06-06,"Pharmaceuticals, Biotechnology & Life Sciences",113910000.0,105530000.0,,,,19.01,9.61,17.61,-37.15
